Date,Max Temperature,Min Temperature,Precipitation,Relative Humidity,StationId
2000-01-01,20.783,4.73399999999998,0.0,0.692401896475572,273931
2000-01-02,18.695,3.53300000000002,0.0,0.62354163542199,273931
2000-01-03,17.714,2.76799999999997,0.0,0.579757558035462,273931
2000-01-04,17.365,5.12099999999998,0.0,0.541821418710999,273931
2000-01-05,16.342,3.32299999999998,0.0,0.567589158270984,273931
2000-01-06,16.903,-0.495000000000005,0.0,0.602438480634159,273931
2000-01-07,16.144,5.16199999999998,0.0,0.5283866515771,273931
2000-01-08,15.431,0.365999999999985,0.0,0.513639418562393,273931
2000-01-09,14.61,4.56,0.0,0.535603669655046,273931
2000-01-10,13.509,4.368,0.0,0.60156653072615,273931
2000-01-11,14.677,0.845000000000027,0.0,0.657847275118878,273931
2000-01-12,16.059,2.42899999999997,0.0,0.756256583733668,273931
2000-01-13,14.483,4.22899999999999,0.87890634,0.765085504494779,273931
2000-01-14,12.864,6.02199999999999,0.4806517752,0.840429471584368,273931
2000-01-15,12.638,2.572,0.0961304328,0.776549139475459,273931
2000-01-16,13.534,4.41000000000003,0.0,0.661376003109556,273931
2000-01-17,11.433,2.58699999999999,0.0446319504,0.873837924262276,273931
2000-01-18,13.538,2.52100000000002,0.0755310384,0.951850442138987,273931
2000-01-19,18.231,3.72500000000002,0.00686646,0.682466541163875,273931
2000-01-20,14.811,5.197,0.0,0.637083657351516,273931
2000-01-21,15.207,5.243,0.0,0.687690170416499,273931
2000-01-22,15.546,2.39600000000002,0.0,0.680614397395817,273931
2000-01-23,13.794,3.166,0.0,0.695995255256981,273931
2000-01-24,14.707,4.19299999999998,0.0,0.62843968838569,273931
2000-01-25,16.217,4.57299999999998,0.0,0.61064982567516,273931
2000-01-26,17.086,4.43599999999998,0.0,0.589212575218731,273931
2000-01-27,16.164,4.04300000000001,0.0,0.64135921238936,273931
2000-01-28,12.544,0.942000000000007,0.0205993584,0.818249475916342,273931
2000-01-29,11.748,2.572,0.0,0.88134819873734,273931
