,State,District,Latitude,Longitude,StationId
171,KARNATAKA,BIDAR,18.265399932861303,77.1875,183772
172,KERALA,THRISSUR,10.147399902343802,76.25,101763
173,MADHAYA PRADESH,DEWAS,22.9487991333008,76.25,229763
174,MADHAYA PRADESH,RATLAM,23.260999679565398,75.0,233750
175,MAHARASHTRA,BHANDARA,21.0753993988037,79.375,211794
176,ORISSA,BOLANGIR,20.451000213623,83.4375,205834
177,ORISSA,MAYURBHANJ,21.6998996734619,86.5625,217866
178,RAJASTHAN,UDAIPUR,24.510000228881804,73.4375,245734
179,UTTAR PRADESH,PRATAPGARH,25.4466991424561,82.1875,254822
180,JHARKHAND,GIRIDIH,24.1977005004883,85.625,242856
181,CHATISGARH,RAIGARH,21.3876991271973,83.125,214831
182,TELANGANA,ADILABAD,19.202100753784197,78.125,192781
183,ARUNACHAL PRADESH,EAST SIANG,27.944499969482397,95.3125,279953
184,BIHAR,PATNA,25.4466991424561,84.375,254844
185,GUJARAT,BHAVNAGAR,21.3876991271973,72.1875,214722
186,HARYANA,KARNAL,7.02514982223511,79.375,70794
187,KARNATAKA,CHAMARAJANAGA,12.0207996368408,76.875,120769
188,MAHARASHTRA,SANGLI,16.3920001983643,74.375,164744
189,PUNJAB,JULLUNDAR,31.0667991638184,75.9375,311759
190,WEST BENGAL,PURULIA,23.260999679565398,85.625,233856
191,UTTARAKHAND,UDHAMSING NAGAR,29.1933994293213,78.4375,292784
192,GOA,NORTH GOA,15.4553003311157,74.0625,155741
193,ANDHRA PRADESH,WEST GODAVARI,15.4553003311157,80.3125,155803
194,KARNATAKA,KODAGU,12.333000183105499,75.3125,123753
195,MAHARASHTRA,CHANDRAPUR,20.1387996673584,79.375,201794
196,ORISSA,ANGUL,20.1387996673584,86.25,201863
197,ORISSA,GANJAM,19.5142993927002,84.375,195844
198,TAMILNADU,RAMANATHAPURA,9.21074962615967,78.125,92781
199,ANDAMAN AND NICOBAR ISLANDS,BAY ISLANDS,11.396400451660199,80.3125,114803
200,UTTARAKHAND,GARWAL PAURI,29.5055999755859,78.4375,295784
201,ANDHRA PRADESH,ANANTAPUR,15.1430997848511,77.5,151775
202,ANDHRA PRADESH,KRISHNA,16.3920001983643,80.625,164806
203,ANDHRA PRADESH,PRAKASAM,15.4553003311157,79.375,155794
204,TELANGANA,WARANGAL,18.265399932861303,79.375,183794
205,ARUNACHAL PRADESH,LOHIT,27.632299423217802,96.25,276963
206,GUJARAT,AHMEDABAD,22.324399948120103,72.1875,223722
207,MAHARASHTRA,THANA,19.5142993927002,73.125,195731
208,ORISSA,BOUDH,20.451000213623,84.375,205844
209,RAJASTHAN,SIROHI,24.510000228881804,72.5,245725
210,TELANGANA,NALGONDA,17.0165004730225,79.0625,170791
211,BIHAR,PURNEA,26.071100234985398,87.5,261875
212,HARYANA,KAITHAL,30.1301002502441,76.25,301763
213,HIMACHAL PRADESH,MANDI,31.378999710082997,75.9375,314759
214,MAHARASHTRA,NASIK,19.5142993927002,73.4375,195734
215,MAHARASHTRA,POONA,18.577600479126,74.375,186744
216,ORISSA,BHADRAK,20.451000213623,86.25,205863
217,RAJASTHAN,DAUSA,26.38330078125,76.5625,264766
218,TAMILNADU,TANJAVUR,10.459699630737301,79.375,105794
219,WEST BENGAL,JALPAIGURI,26.071100234985398,89.375,261894
220,ANDHRA PRADESH,SRIKAKULAM,19.202100753784197,84.375,192844
221,ASSAM,NOWGONG,25.4466991424561,93.125,254931
222,BIHAR,GOPALGANJ,26.38330078125,84.375,264844
223,BIHAR,KATIHAR,25.1343994140625,87.5,251875
224,MAHARASHTRA,NAGPUR,21.3876991271973,78.4375,214784
225,PUNJAB,LUDHIANA,30.4423007965088,76.25,304763
226,TRIPURA,WEST TRIPURA,23.573299407959,91.25,236913
227,WEST BENGAL,BIRBHUM,24.1977005004883,87.5,242875
228,WEST BENGAL,MIDNAPORE,7.02514982223511,79.375,70794
229,ASSAM,DIBRUGARH,27.3199996948242,94.375,273944
230,GUJARAT,KUTCH,23.260999679565398,68.4375,233684
231,JAMMU AND KASHMIR,JAMMU,32.315700531005895,74.6875,323747
232,MADHAYA PRADESH,KHARGONE,21.0753993988037,75.0,211750
233,MADHAYA PRADESH,SHAJAPUR,23.573299407959,75.9375,236759
234,MAHARASHTRA,NANDED,18.265399932861303,77.5,183775
235,MAHARASHTRA,SATARA,17.953199386596697,74.0625,180741
236,WEST BENGAL,COOCH BEHAR,26.071100234985398,89.375,261894
237,WEST BENGAL,HOWRAH,22.324399948120103,87.5,223875
238,WEST BENGAL,MALDA,25.1343994140625,87.5,251875
239,WEST BENGAL,24 PARGANAS N,22.9487991333008,88.4375,229884
240,BIHAR,JAMUI,25.1343994140625,88.125,251881
241,BIHAR,MUNGER,25.1343994140625,88.125,251881
242,KARNATAKA,CHAMARAJANAGA,12.0207996368408,77.5,120775
243,KERALA,PALAKKAD,10.459699630737301,76.25,105763
244,MADHAYA PRADESH,DATIA,26.071100234985398,78.4375,261784
245,MAHARASHTRA,AMRAOTI,21.0753993988037,77.5,211775
246,MAHARASHTRA,NANDURBAR,21.0753993988037,74.0625,211741
247,PUNJAB,FEROZEPORE,30.4423007965088,74.6875,304747
248,UTTAR PRADESH,GONDA,27.007799148559602,82.1875,270822
249,ANDHRA PRADESH,GUNTUR,16.0797996520996,80.0,161800
250,BIHAR,PATNA,25.1343994140625,85.3125,251853
251,GUJARAT,BULSAR/VALSAD,20.451000213623,73.125,205731
252,GUJARAT,RAJKOT,22.0121002197266,71.25,220713
253,GUJARAT,PATAN,23.573299407959,71.5625,236716
254,LADAKH,LADAKH,34.189098358154304,77.1875,342772
255,KARNATAKA,KANARA SOUTH,12.957500457763699,74.375,130744
256,KERALA,KOTTAYAM,9.21074962615967,76.5625,92766
257,MAHARASHTRA,KOLABA/RAIGARH,18.265399932861303,72.5,183725
258,ORISSA,CUTTACK,7.02514982223511,79.375,70794
259,UTTAR PRADESH,KHERI LAKHIMPUR,27.944499969482397,80.625,279806
260,UTTARAKHAND,PITHORGARH,29.5055999755859,80.0,295800
261,CHATISGARH,MAHASAMUND,21.0753993988037,82.1875,211822
262,GUJARAT,JAMNAGAR,22.0121002197266,70.3125,220703
263,KARNATAKA,DAVANAGERE,13.8942003250122,75.625,139756
264,KARNATAKA,UDUPI,13.269700050353999,75.625,133756
265,TAMILNADU,SALEM,11.396400451660199,78.125,114781
266,DADRA AND NAGAR HAVELI,DADRA N. HAVELI,7.02514982223511,79.375,70794
267,CHATISGARH,JASHPURNAGAR,22.636600494384798,84.0625,226841
268,CHATISGARH,RAIGARH,21.6998996734619,83.125,217831
269,TELANGANA,KARIMNAGAR,18.265399932861303,79.375,183794
270,KARNATAKA,CHAMARAJANAGA,12.333000183105499,76.25,123763
271,KARNATAKA,KODAGU,12.0207996368408,75.9375,120759
272,KARNATAKA,KOLAR,13.5819997787476,77.5,136775
273,TAMILNADU,SIVAGANGA,10.147399902343802,78.4375,101784
274,UTTAR PRADESH,AGRA,27.007799148559602,77.5,270775
275,WEST BENGAL,MIDNAPORE,22.324399948120103,86.875,223869
276,WEST BENGAL,MURSHIDABAD,24.1977005004883,88.125,242881
