State,District,Latitude,Longitude,StationId
TELANGANA,MAHBUBNAGAR,17.0165004730225,78.125,170781
ANDHRA PRADESH,PRAKASAM,15.4553003311157,79.6875,155797
ANDHRA PRADESH,VISAKHAPATNAM,17.953199386596697,82.5,180825
GUJARAT,BANASKANTHA,24.1977005004883,71.875,242719
GUJARAT,MEHSANA,23.260999679565398,71.5625,233716
HARYANA,AMBALA,30.1301002502441,77.1875,301772
MADHAYA PRADESH,DEWAS,22.636600494384798,76.25,226763
MAHARASHTRA,AKOLA,20.451000213623,76.875,205769
MAHARASHTRA,YEOTMAL,19.202100753784197,77.5,192775
RAJASTHAN,JODHPUR,27.007799148559602,72.1875,270722
WEST BENGAL,BURDWAN,23.260999679565398,87.5,233875
UTTARAKHAND,UTTAR KASHI,7.02514982223511,79.375,70794
