State,District,Latitude,Longitude,StationId
GUJARAT,JUNAGADH,20.451000213623,70.3125,205703
KARNATAKA,DAVANAGERE,14.5186004638672,75.625,145756
KARNATAKA,GULBARGA,17.6408996582031,76.25,176763
KARNATAKA,MANDYA,12.333000183105499,76.875,123769
KARNATAKA,MYSORE,12.333000183105499,76.25,123763
MADHAYA PRADESH,KHARGONE,21.3876991271973,75.625,214756
MADHAYA PRADESH,SEHORE,22.324399948120103,77.1875,223772
MAHARASHTRA,POONA,17.953199386596697,73.4375,180734
MAHARASHTRA,THANA,19.202100753784197,73.125,192731
MAHARASHTRA,JALNA,19.5142993927002,75.625,195756
PUNJAB,PATIALA,30.4423007965088,76.25,304763
RAJASTHAN,CHITTORGARH,25.1343994140625,74.375,251744
UTTAR PRADESH,BALLIA,25.4466991424561,84.0625,254841
WEST BENGAL,24 PARGANAS S,22.324399948120103,88.4375,223884
