State,District,Latitude,Longitude,StationId
GUJARAT,NARMADA,7.02514982223511,79.375,70794
KARNATAKA,BAGALKOTE,16.0797996520996,75.9375,161759
MADHAYA PRADESH,DEWAS,22.636600494384798,75.9375,226759
ORISSA,SAMBALPUR,21.3876991271973,84.0625,214841
RAJASTHAN,CHITTORGARH,24.1977005004883,74.375,242744
RAJASTHAN,KOTAH,25.1343994140625,75.625,251756
RAJASTHAN,KARAULI,26.38330078125,76.5625,264766
CHATISGARH,RAIPUR,21.0753993988037,81.25,211813
CHATISGARH,SURGUJA,23.573299407959,83.4375,236834
GOA,SOUTH GOA,15.1430997848511,73.4375,151734
