State,District,Latitude,Longitude,StationId
BIHAR,KHAGARIA,25.4466991424561,86.25,254863
GUJARAT,BARODA,22.0121002197266,73.125,220731
HARYANA,KAITHAL,29.5055999755859,76.25,295763
KARNATAKA,BANGALORE RURAL,12.333000183105499,77.1875,123772
KARNATAKA,BIJAPUR,17.0165004730225,75.625,170756
KERALA,PALAKKAD,10.459699630737301,76.5625,105766
MADHAYA PRADESH,SAGAR,23.260999679565398,79.0625,233791
MAHARASHTRA,AURANGABAD,20.1387996673584,75.3125,201753
MAHARASHTRA,NAGPUR,21.0753993988037,79.0625,211791
MIZORAM,AIZWAL,23.260999679565398,92.5,233925
ORISSA,BALASORE,21.3876991271973,87.1875,214872
RAJASTHAN,JHUNJHUNU,27.3199996948242,75.3125,273753
TAMILNADU,ERODE,11.396400451660199,77.1875,114772
TAMILNADU,KANNIYAKUMARI,7.02514982223511,79.375,70794
TAMILNADU,KRISHNAGIRI,12.333000183105499,77.5,123775
