State,District,Latitude,Longitude,StationId
ARUNACHAL PRADESH,DIBANG VALLEY,28.5688991546631,95.625,286956
ASSAM,LAKHIMPUR,27.007799148559602,94.0625,270941
ASSAM,SONITPUR,26.38330078125,93.4375,264934
BIHAR,MUZAFFARPUR,7.02514982223511,79.375,70794
HIMACHAL PRADESH,BILASPUR,31.378999710082997,76.25,314763
KARNATAKA,CHITRADURGA,14.206399917602502,76.5625,142766
MADHAYA PRADESH,KHANDWA,7.02514982223511,79.375,70794
RAJASTHAN,BHILWARA,25.1343994140625,75.0,251750
TAMILNADU,RAMANATHAPURA,9.52297973632813,79.0625,95791
UTTAR PRADESH,LALITPUR,24.1977005004883,78.4375,242784
WEST BENGAL,BANKURA,22.636600494384798,86.5625,226866
WEST BENGAL,MIDNAPORE,21.3876991271973,87.5,214875
