State,District,Latitude,Longitude,StationId
ANDHRA PRADESH,GUNTUR,16.0797996520996,80.625,161806
KARNATAKA,BELLARY,15.1430997848511,76.25,151763
MADHAYA PRADESH,BETUL,21.3876991271973,77.5,214775
NAGALAND,PHEK,25.4466991424561,94.375,254944
ORISSA,PURI,20.1387996673584,85.625,201856
PUNJAB,AMRITSAR,31.6912002563477,74.375,317744
RAJASTHAN,BHARATPUR,27.007799148559602,77.5,270775
RAJASTHAN,GANGANAGAR,29.5055999755859,73.4375,295734
TAMILNADU,CUDDALORE,11.084099769592301,79.375,111794
UTTAR PRADESH,MUZAFFARNAGAR,29.1933994293213,77.1875,292772
