State,District,Latitude,Longitude,StationId
ANDHRA PRADESH,CUDDAPAH,14.5186004638672,78.4375,145784
ANDHRA PRADESH,KURNOOL,15.1430997848511,77.5,151775
BIHAR,GAYA,24.510000228881804,85.0,245850
GUJARAT,AMRELI,21.0753993988037,71.25,211713
KARNATAKA,KANARA SOUTH,12.645299911499,74.375,126744
KERALA,THRISSUR,10.459699630737301,75.9375,105759
KERALA,THIRUVANANTHAP,8.274060249328612,76.875,83769
MAHARASHTRA,SANGLI,17.0165004730225,74.0625,170741
MAHARASHTRA,SANGLI,17.0165004730225,74.375,170744
ORISSA,BOUDH,7.02514982223511,79.375,70794
ORISSA,CUTTACK,20.1387996673584,85.0,201850
ORISSA,RAYAGADA,19.202100753784197,83.125,192831
PUNJAB,HOSHIARPUR,31.378999710082997,75.3125,314753
RAJASTHAN,RAJASMAND,25.1343994140625,73.4375,251734
TAMILNADU,TIRUCHIRAPALLI,10.147399902343802,78.125,101781
UTTAR PRADESH,SITAPUR,27.3199996948242,80.3125,273803
CHATISGARH,BILASPUR,22.0121002197266,82.1875,220822
