State,District,Latitude,Longitude,StationId
BIHAR,NALANDA,25.1343994140625,85.0,251850
GUJARAT,SURENDRANAGAR,22.9487991333008,71.5625,229716
KARNATAKA,MANDYA,12.645299911499,76.5625,126766
KERALA,MALAPPURAM,11.084099769592301,75.9375,111759
KERALA,KOLLAM,8.89852046966553,76.5625,89766
KERALA,IDUKKI,9.21074962615967,76.5625,92766
MADHAYA PRADESH,VIDISHA,24.1977005004883,77.5,242775
MANIPUR,SENAPATI,25.1343994140625,94.0625,251941
RAJASTHAN,JAISALMER,26.38330078125,71.25,264713
TAMILNADU,NILGIRIS,11.396400451660199,76.25,114763
TAMILNADU,TANJAVUR,10.459699630737301,79.0625,105791
TAMILNADU,TIRUCHIRAPALLI,11.084099769592301,78.4375,111784
UTTAR PRADESH,SHAHJAHANPUR,27.3199996948242,79.375,273794
WEST BENGAL,MIDNAPORE,22.0121002197266,87.5,220875
