State,District,Latitude,Longitude,StationId
GUJARAT,JUNAGADH,21.3876991271973,70.3125,214703
HIMACHAL PRADESH,UNA,31.378999710082997,75.9375,314759
KERALA,KOTTAYAM,9.52297973632813,76.25,95763
MADHAYA PRADESH,MORENA,26.38330078125,78.125,264781
MAHARASHTRA,SHOLAPUR,17.6408996582031,74.6875,176747
MAHARASHTRA,GADCHIROLI,19.202100753784197,80.0,192800
RAJASTHAN,KARAULI,26.6956005096436,76.5625,267766
TAMILNADU,VILLUPURAM,11.396400451660199,79.0625,114791
DAMAN AND DIU,DAMAN,20.1387996673584,72.5,201725
UTTAR PRADESH,AGRA,26.38330078125,78.4375,264784
