State,District,Latitude,Longitude,StationId
GUJARAT,PORBANDAR,21.3876991271973,69.375,214694
HARYANA,HISSAR,29.1933994293213,75.625,292756
KARNATAKA,KANARA SOUTH,12.333000183105499,75.3125,123753
MADHAYA PRADESH,SHIVPURI,25.1343994140625,77.5,251775
RAJASTHAN,JAISALMER,27.3199996948242,71.5625,273716
TAMILNADU,DINDIGUL,10.147399902343802,77.5,101775
TRIPURA,NORTH TRIPURA,24.1977005004883,91.875,242919
UTTAR PRADESH,GHAZIPUR,25.4466991424561,83.125,254831
UTTAR PRADESH,JHANSI,25.4466991424561,79.0625,254791
UTTAR PRADESH,MAU,26.071100234985398,83.4375,261834
JHARKHAND,BOKARO,7.02514982223511,79.375,70794
