State,District,Latitude,Longitude,StationId
TELANGANA,ADILABAD,18.889799118042,78.4375,189784
ANDHRA PRADESH,WEST GODAVARI,17.0165004730225,81.25,170813
ANDHRA PRADESH,GUNTUR,16.3920001983643,80.0,164800
ANDHRA PRADESH,KRISHNA,16.3920001983643,80.3125,164803
GUJARAT,ANAND,7.02514982223511,79.375,70794
KARNATAKA,DAVANAGERE,14.206399917602502,75.625,142756
KARNATAKA,KANARA NORTH,14.5186004638672,74.0625,145741
KARNATAKA,TUMKUR,13.269700050353999,76.25,133763
MADHAYA PRADESH,RAESEN,22.9487991333008,77.1875,229772
MAHARASHTRA,AHMEDNAGAR,18.265399932861303,75.0,183750
MAHARASHTRA,AHMEDNAGAR,18.889799118042,74.375,189744
MAHARASHTRA,THANA,19.202100753784197,72.5,192725
PUNJAB,PATIALA,30.1301002502441,76.25,301763
TAMILNADU,DHARMAPURI,11.396400451660199,78.125,114781
TAMILNADU,VELLORE,12.957500457763699,79.375,130794
UTTAR PRADESH,BASTI,26.38330078125,82.5,264825
JHARKHAND,SINGBHUM EAST,22.636600494384798,86.25,226863
