State,District,Latitude,Longitude,StationId
ANDHRA PRADESH,GUNTUR,16.0797996520996,80.3125,161803
BIHAR,SUPAUL,7.02514982223511,79.375,70794
GUJARAT,PANCH-MAHALS,23.260999679565398,73.4375,233734
GUJARAT,DOHAD,22.636600494384798,74.0625,226741
JAMMU AND KASHMIR,DODA,33.2523994445801,75.0,333750
KARNATAKA,KANARA NORTH,14.206399917602502,74.375,142744
KARNATAKA,KANARA NORTH,15.1430997848511,74.375,151744
MADHAYA PRADESH,SHAHDOL,23.260999679565398,81.25,233813
MAHARASHTRA,BULDHANA,20.451000213623,76.5625,205766
MAHARASHTRA,NASIK,20.1387996673584,73.4375,201734
RAJASTHAN,DAUSA,26.6956005096436,76.25,267763
WEST BENGAL,DARJEELING,26.38330078125,88.125,264881
CHATISGARH,BILASPUR,22.0121002197266,81.5625,220816
