State,District,Latitude,Longitude,StationId
TELANGANA,MAHBUBNAGAR,15.4553003311157,78.125,155781
ANDHRA PRADESH,NELLORE,15.1430997848511,79.375,151794
BIHAR,AURANGABAD,24.510000228881804,84.375,245844
KERALA,PALAKKAD,10.147399902343802,76.5625,101766
MADHAYA PRADESH,SEHORE,22.324399948120103,77.5,223775
MAHARASHTRA,BULDHANA,19.5142993927002,76.25,195763
ORISSA,JAJPUR,20.451000213623,86.25,205863
RAJASTHAN,ALWAR,27.007799148559602,76.25,270763
UTTAR PRADESH,FAIZABAD,26.38330078125,82.1875,264822
WEST BENGAL,JALPAIGURI,26.38330078125,89.0625,264891
WEST BENGAL,PURULIA,22.9487991333008,86.25,229863
UTTARAKHAND,NAINITAL,28.881200790405302,79.375,289794
CHATISGARH,BILASPUR,22.324399948120103,81.5625,223816
