State,District,Latitude,Longitude,StationId
TELANGANA,MAHBUBNAGAR,17.0165004730225,77.5,170775
ASSAM,GOALPARA,26.071100234985398,90.3125,261903
KARNATAKA,BIDAR,18.265399932861303,77.1875,183772
KERALA,THRISSUR,10.147399902343802,76.25,101763
MADHAYA PRADESH,DEWAS,22.9487991333008,76.25,229763
MADHAYA PRADESH,RATLAM,23.260999679565398,75.0,233750
MAHARASHTRA,BHANDARA,21.0753993988037,79.375,211794
ORISSA,BOLANGIR,20.451000213623,83.4375,205834
ORISSA,MAYURBHANJ,21.6998996734619,86.5625,217866
RAJASTHAN,UDAIPUR,24.510000228881804,73.4375,245734
UTTAR PRADESH,PRATAPGARH,25.4466991424561,82.1875,254822
JHARKHAND,GIRIDIH,24.1977005004883,85.625,242856
CHATISGARH,RAIGARH,21.3876991271973,83.125,214831
