State,District,Latitude,Longitude,StationId
ANDHRA PRADESH,CHITTOR,13.5819997787476,78.125,136781
ANDHRA PRADESH,GUNTUR,16.3920001983643,79.375,164794
TELANGANA,HYDERABAD,17.3286991119385,78.125,173781
TELANGANA,KHAMMAM,17.0165004730225,80.0,170800
ANDHRA PRADESH,KRISHNA,17.0165004730225,80.3125,170803
BIHAR,PURNEA,26.071100234985398,88.125,261881
GUJARAT,MEHSANA,23.260999679565398,72.1875,233722
KARNATAKA,BIJAPUR,17.6408996582031,75.625,176756
KARNATAKA,CHICKMAGALUR,13.5819997787476,75.625,136756
KARNATAKA,MYSORE,12.0207996368408,76.5625,120766
MADHAYA PRADESH,GUNA,24.510000228881804,78.125,245781
MADHAYA PRADESH,JHABUA,22.9487991333008,74.375,229744
MAHARASHTRA,GADCHIROLI,20.451000213623,80.3125,205803
TAMILNADU,THIRUVALLUR,13.269700050353999,79.375,133794
UTTARAKHAND,UTTAR KASHI,30.1301002502441,78.125,301781
