State,District,Latitude,Longitude,StationId
TELANGANA,MAHBUBNAGAR,16.3920001983643,78.4375,164784
ASSAM,DARRANG,26.38330078125,91.5625,264916
ASSAM,NOWGONG,26.071100234985398,92.5,261925
GUJARAT,NAVSARI,20.451000213623,73.125,205731
RAJASTHAN,CHURU,28.256700515747102,74.6875,283747
UTTAR PRADESH,FARRUKHABAD,27.007799148559602,79.375,270794
UTTAR PRADESH,HARDOI,27.007799148559602,80.3125,270803
WEST BENGAL,NADIA,23.260999679565398,88.4375,233884
JHARKHAND,DUMKA,7.02514982223511,79.375,70794
CHATISGARH,KORIYA,23.573299407959,81.5625,236816
