State,District,Latitude,Longitude,StationId
ANDHRA PRADESH,PRAKASAM,15.4553003311157,79.0625,155791
ARUNACHAL PRADESH,EAST KAMENG,27.3199996948242,93.125,273931
BIHAR,CHAMPARAN.EAST,7.02514982223511,79.375,70794
GUJARAT,BROACH,21.3876991271973,73.125,214731
GUJARAT,JUNAGADH,21.0753993988037,70.0,211700
HIMACHAL PRADESH,KULU,32.315700531005895,77.1875,323772
KARNATAKA,KANARA SOUTH,12.0207996368408,75.0,120750
MAHARASHTRA,AHMEDNAGAR,19.202100753784197,74.375,192744
RAJASTHAN,JAISALMER,26.6956005096436,71.5625,267716
UTTAR PRADESH,RAE BARELI,26.071100234985398,80.9375,261809
WEST BENGAL,JALPAIGURI,26.6956005096436,89.0625,267891
