State,District,Latitude,Longitude,StationId
ARUNACHAL PRADESH,PAPAMPARE,27.007799148559602,93.4375,270934
BIHAR,PATNA,25.4466991424561,85.0,254850
GUJARAT,JAMNAGAR,22.324399948120103,69.0625,223691
GUJARAT,MEHSANA,23.260999679565398,72.5,233725
MADHAYA PRADESH,SATNA,24.1977005004883,80.625,242806
MAHARASHTRA,POONA,17.953199386596697,74.375,180744
ORISSA,DHENKANAL,20.451000213623,85.3125,205853
ORISSA,MAYURBHANJ,21.6998996734619,85.9375,217859
UTTAR PRADESH,BANDA,25.4466991424561,80.625,254806
UTTAR PRADESH,BAREILLY,28.256700515747102,79.0625,283791
