State,District,Latitude,Longitude,StationId
KERALA,ALAPPUZHA,9.21074962615967,76.25,92763
PUNJAB,JULLUNDAR,30.1301002502441,75.3125,301753
PUNJAB,ROOPNAGAR,30.4423007965088,76.25,304763
PUNJAB,SANGRUR,30.1301002502441,75.625,301756
RAJASTHAN,BANSWARA,23.573299407959,74.375,236744
TAMILNADU,CUDDALORE,11.396400451660199,79.0625,114791
UTTAR PRADESH,BARA BANKI,26.38330078125,81.25,264813
UTTAR PRADESH,PILIBHIT,28.256700515747102,79.375,283794
JHARKHAND,RANCHI,23.260999679565398,85.3125,233853
CHATISGARH,KANKER,20.1387996673584,81.25,201813
