State,District,Latitude,Longitude,StationId
ANDHRA PRADESH,VISAKHAPATNAM,17.6408996582031,82.5,176825
ARUNACHAL PRADESH,UPPER SUBANSIRI,28.256700515747102,95.0,283950
BIHAR,BEGUSARAI,7.02514982223511,79.375,70794
HIMACHAL PRADESH,CHAMBA,32.627899169921896,75.9375,326759
HIMACHAL PRADESH,KANGRA,31.378999710082997,76.25,314763
KARNATAKA,KOPPAL,15.4553003311157,76.5625,155766
KERALA,IDUKKI,9.52297973632813,76.25,95763
MADHAYA PRADESH,INDORE,22.324399948120103,75.625,223756
ORISSA,DEOGARH,21.3876991271973,85.0,214850
PUNJAB,GURDASPUR,31.378999710082997,75.0,314750
TAMILNADU,VILLUPURAM,11.396400451660199,78.4375,114784
WEST BENGAL,BIRBHUM,23.8854999542236,87.1875,239872
WEST BENGAL,NADIA,7.02514982223511,79.375,70794
JHARKHAND,PALAMAU,23.8854999542236,84.375,239844
