State,District,Latitude,Longitude,StationId
HARYANA,YAMUNANAGAR,30.1301002502441,77.1875,301772
KARNATAKA,GULBARGA,17.0165004730225,76.25,170763
KARNATAKA,KOPPAL,15.4553003311157,75.9375,155759
KERALA,MALAPPURAM,11.084099769592301,75.625,111756
MADHAYA PRADESH,BHIND,26.071100234985398,78.4375,261784
ORISSA,BOUDH,20.451000213623,84.0625,205841
RAJASTHAN,TONK,26.071100234985398,75.625,261756
TAMILNADU,THOOTHUKUDI,9.21074962615967,78.125,92781
UTTAR PRADESH,BALLIA,25.4466991424561,83.4375,254834
UTTAR PRADESH,BAREILLY,7.02514982223511,79.375,70794
WEST BENGAL,BIRBHUM,23.573299407959,87.1875,236872
