SN,STATE NAME,DISTRICT NAME,STATION NAME,CLASS,LAT,LON,HEIGHT(MTR),CATCH
41,ANDHRA,CUDDAPAH,PULIVENDLA,REV,14.25,78.14,0271,304
42,ANDHRA,CUDDAPAH,JAMMALAMADUGU,REV,14.51,78.24,0186,304
43,ANDHRA,CUDDAPAH,PRODDATUR,REV,14.45,78.34,0154,304
44,ANDHRA,CUDDAPAH,KAMALAPURAM,REV,14.35,78.40,0138,304
45,ANDHRA,CUDDAPAH,CUDDAPAH,OBSY,14.29,78.50,0130,304
46,ANDHRA,CUDDAPAH,RAYACHOTI,REV,14.03,78.45,0358,304
47,ANDHRA,CUDDAPAH,VEMPALLI,REV,14.22,78.27,0198,304
48,ANDHRA,CUDDAPAH,LAKKIREDDIPALAM,REV,14.12,78.42,0361,304
49,ANDHRA,CUDDAPAH,BADVEL,REV,14.45,79.04,0137,304
50,ANDHRA,CUDDAPAH,RAJAMPET,REV,14.12,79.10,0135,304
51,ANDHRA,CUDDAPAH,MADDANUR,REV,15.45,78.30, ,304
52,ANDHRA,CUDDAPAH,PORUMAMILLA,REV,15.01,79.00,0168,304
53,ANDHRA,EAST GODAVARI,DOWLESHWARAM,PWD,16.55,81.47,0047,317
54,ANDHRA,EAST GODAVARI,RAJAHMUNDRY,REV,17.00,81.46,0021,317
55,ANDHRA,EAST GODAVARI,RAMPACHODAVARAM,OBSY,17.20,81.50,0160,317
56,ANDHRA,EAST GODAVARI,RAJAHMUNDRY,HYDRO,17.00,81.46,0021,317
57,ANDHRA,EAST GODAVARI,KAKINADA,OBSY,16.57,82.14,0008,318
58,ANDHRA,EAST GODAVARI,AMALAPURAM,REV,16.34,82.00,0004,318
59,ANDHRA,EAST GODAVARI,TUNI,REV,17.21,82.33,0015,318
60,ANDHRA,EAST GODAVARI,PRATHIPADU,REV,17.14,82.12,0038,318
61,ANDHRA,EAST GODAVARI,PEDDAPURAM,REV,17.05,82.08,0040,318
62,ANDHRA,EAST GODAVARI,TUNI,OBSY,17.21,82.33,0015,318
63,ANDHRA,WEST GODAVARI,POLAVARAM,REV,17.15,81.39,0024,317
64,ANDHRA,WEST GODAVARI,ELLORE%ELURU,REV,16.42,81.07,0014,318
65,ANDHRA,WEST GODAVARI,TADEPALLIGUDEM,REV,16.50,81.31,0013,318
66,ANDHRA,WEST GODAVARI,TANUKU,REV,16.45,81.43,0011,318
67,ANDHRA,WEST GODAVARI,BHIMAVARAM,REV,16.32,81.33,0004,318
68,ANDHRA,WEST GODAVARI,NARSAPURAM,REV,16.26,81.42,0003,318
69,ANDHRA,WEST GODAVARI,NIDADAVOLE,OBSY,16.55,81.40,0012,318
70,ANDHRA,WEST GODAVARI,KODERU,PWD,16.35,81.52,0011,318
71,ANDHRA,WEST GODAVARI,NARSAPURAM,OBSY,16.26,81.42,0003,318
72,ANDHRA,WEST GODAVARI,CHINTALAPUDI,REV,17.04,80.59,0118,318
73,ANDHRA,WEST GODAVARI,BHIMADOLE,REV,17.00,81.30, ,318
74,ANDHRA,WEST GODAVARI,KOYYALAGUDEM,REV,17.07,81.25, ,318
75,ANDHRA,WEST GODAVARI,BAPATLA,OBSY,15.54,80.28,0007,305
76,ANDHRA,GUNTUR,GUNTUR,REV,16.18,80.27,0032,305
77,ANDHRA,GUNTUR,TENALI,REV,16.14,80.39,0011,305
78,ANDHRA,GUNTUR,RAPALLE,REV,16.02,80.51,0005,305
79,ANDHRA,GUNTUR,NARASARAOPET,OBSY,16.14,80.03,0071,305
80,ANDHRA,GUNTUR,MACHARLA,REV,16.28,79.26,0140,310
81,ANDHRA,GUNTUR,RENTACHINTALA,OBSY,16.33,79.33,0106,310
82,ANDHRA,GUNTUR,PIDUGURALLA,REV,16.29,79.54, ,310
83,ANDHRA,GUNTUR,MANGALGIRI,REV,16.25,80.35, ,310
84,ANDHRA,GUNTUR,SATHENAPALLI,REV,16.23,80.08,0069,310
85,ANDHRA,GUNTUR,ATCHEMPET,REV,16.38,80.07, ,310
86,ANDHRA,HYDERABAD,BEGUMPET/HYD.AER,OBSY,17.27,78.28,0545,310
87,ANDHRA,HYDERABAD,HAKIMPET IAF,OBSY,17.33,78.31,0613,310
88,ANDHRA,HYDERABAD,GOLKONDA,REV,17.30,78.30,0650,310
89,ANDHRA,KARIMNAGAR,SULTANABAD%OSMM,REV,18.10,77.45,0328,312
90,ANDHRA,KARIMNAGAR,JAGTIAL,REV,18.48,78.56,0280,313
91,ANDHRA,KARIMNAGAR,SIRICILLA,REV,18.23,78.49,0323,313
92,ANDHRA,KARIMNAGAR,METPALLI,REV,18.52,78.34,0300,313
93,ANDHRA,KARIMNAGAR,KARIMNAGAR,REV,18.25,79.09,0270,313
94,ANDHRA,KARIMNAGAR,HUZURABAD,REV,18.13,79.25,0271,313
95,ANDHRA,KARIMNAGAR,RAMGUNDAM,OBSY,18.46,79.26,0156,313
96,ANDHRA,KARIMNAGAR,MANTHANI,REV,18.39,79.40,0136,313
97,ANDHRA,KARIMNAGAR,KARIMNAGAR,PWD,18.25,79.09,0270,313
98,ANDHRA,KARIMNAGAR,SHAMIGARAM,PWD,18.11,79.00,0358,313
99,ANDHRA,KARIMNAGAR,KALESWARAM,HYDRO,18.49,79.55, ,313
100,ANDHRA,KHAMMAM,MADHIRA,REV,16.55,80.22,0057,310
101,ANDHRA,KHAMMAM,YELLANDU,REV,17.36,80.20,0201,310
102,ANDHRA,KHAMMAM,KHAMMAM,OBSY,17.15,80.09,0112,310
103,ANDHRA,KHAMMAM,BHADRACHALAM,OBSY,17.33,80.38,0054,317
104,ANDHRA,KHAMMAM,DUMMUGUDEM,PWD,17.50,80.54,0056,317
105,ANDHRA,KHAMMAM,KOTHAGUDEM,REV,17.33,80.38,0166,317
106,ANDHRA,KHAMMAM,BHADRACHALAM,HYDRO,17.40,80.53,0051,317
107,ANDHRA,KHAMMAM,DUMMUGUDEM,HYDRO,17.50,80.54,0056,317
108,ANDHRA,KHAMMAM,KOIDA, ,17.45,81.20,0013,317
109,ANDHRA,KHAMMAM,KUNAVARAM,REV,17.36,81.14, ,317
110,ANDHRA,KHAMMAM,KOIDA,HYDRO,17.45,81.20,0013,317
111,ANDHRA,KHAMMAM,PERUR,HYDRO,18.33,80.23,0087,317
112,ANDHRA,KHAMMAM,VENKATAPURAM, ,18.20,80.54, ,317
113,ANDHRA,KRISHNA,AVANIGADDA,REV,16.02,80.55,0004,310
114,ANDHRA,KRISHNA,NANDIGAMA,REV,16.47,80.17,0043,310
115,ANDHRA,KRISHNA,VIJAYAWADA A.P.,OBSY,16.31,80.37,0018,310
116,ANDHRA,KRISHNA,PALERU BRIDGE,HYDRO,16.59,80.03, ,310
117,ANDHRA,KRISHNA,VEDADRI,HYDRO,16.50,80.06, ,310
118,ANDHRA,KRISHNA,PRAKASAN BARRAGE,HYDRO,16.31,80.37, ,310
119,ANDHRA,KRISHNA,NANDIGAMA,OBSY,16.47,80.17,0052,310
120,ANDHRA,KRISHNA,TIRUVUR%TIRUVVRU,REV,17.07,80.37,0183,310
121,ANDHRA,KRISHNA,GUDIVADA,REV,16.26,80.59,0007,318
122,ANDHRA,KRISHNA,NUZVIDU,REV,16.48,80.52,0024,318
123,ANDHRA,KRISHNA,KAIKALUR,REV,16.33,81.12,0003,318
124,ANDHRA,KRISHNA,MASULIPATNAM CDR,OBSY,16.11,81.08,0003,318
125,BIHAR,DARBHANGA,KAMTAUL,HYDRO,26.10,85.48, ,417
126,ANDHRA,KURNOOL,ALLAGADDA,REV,15.09,78.31,0177,304
127,ANDHRA,KURNOOL,OWK,REV,15.13,78.08,0206,304
128,ANDHRA,KURNOOL,KOILKUNTLA,PWD,15.15,78.19,0189,304
129,ANDHRA,KURNOOL,NANDYAL,OBSY,15.28,78.29,0212,304
130,ANDHRA,KURNOOL,KOILKUNTLA,REV,15.15,78.19,0238,304
131,ANDHRA,KURNOOL,YEMMIGANUR,REV,15.47,77.29,0374,309
132,ANDHRA,KURNOOL,ALUR,REV,15.23,77.14,0467,309
133,ANDHRA,KURNOOL,DHONE,REV,15.24,77.52,0423,309
134,ANDHRA,KURNOOL,PATTIKONDA,REV,15.23,77.31,0525,309
135,ANDHRA,KURNOOL,HOLALAGUNDA,PWD,15.29,77.04,0396,309
136,ANDHRA,KURNOOL,YEMMIGANUR,PWD,15.47,77.29,0374,309
137,ANDHRA,KURNOOL,MANTHRALAYAM,HYDRO,15.56,77.21,0318,309
138,ANDHRA,KURNOOL,HOLALAGUNDA,REV,15.29,77.04,0396,309
139,ANDHRA,KURNOOL,KURNOOL,OBSY,15.50,78.04,0281,309
140,ANDHRA,KURNOOL,ATMAKUR,REV,15.53,78.35,0284,310
141,ANDHRA,KURNOOL,SRISAILAM,PWD,16.05,79.05,0414,310
142,ANDHRA,KURNOOL,SRISAILAM,HYDRO,16.05,79.05,0414,310
143,ANDHRA,MAHBUBNAGAR,ALAMPUR,REV,15.54,78.08,0305,309
144,ANDHRA,MAHBUBNAGAR,MAKTHAL%MUKTHAL,REV,16.30,77.32,0360,310
145,ANDHRA,MAHBUBNAGAR,JURALA PROJ.,HYDRO,16.21,77.50, ,310
146,ANDHRA,MAHBUBNAGAR,NAGARKURNOOL,REV,16.29,78.19,0465,310
147,ANDHRA,MAHBUBNAGAR,WANAPARTHI,REV,16.22,78.04,0388,310
148,ANDHRA,MAHBUBNAGAR,MAHBUBNAGAR,OBSY,16.45,78.00,0505,310
149,ANDHRA,MAHBUBNAGAR,KOLLAPUR%KOLHAPU,REV,16.07,78.20,0325,310
150,ANDHRA,MAHBUBNAGAR,KALWAKURTHI,REV,16.40,78.30,0490,310
151,ANDHRA,MAHBUBNAGAR,ACHAMPET,REV,16.24,78.36,0467,310
152,ANDHRA,MAHBUBNAGAR,KODANGAL,REV,17.07,77.38,0566,310
153,ANDHRA,MAHBUBNAGAR,SHADNAGAR,REV,17.04,78.12,0643,310
154,ANDHRA,MEDAK,SANGAREDDI,REV,17.38,78.05,0512,312
155,ANDHRA,MEDAK,ANDOLE/JOGIPET,REV,17.50,78.04,0495,312
156,ANDHRA,MEDAK,NARASAPUR,REV,17.43,78.17,0550,312
157,ANDHRA,MEDAK,NARAYAN KHED,REV,18.02,77.47,0500,312
158,ANDHRA,MEDAK,MEDAK,OBSY,18.03,78.16,0472,312
159,ANDHRA,MEDAK,RAMAYAMPET,REV,18.07,78.26, ,312
160,ANDHRA,MEDAK,SIDDIPET,REV,18.06,78.51,0486,313
161,ANDHRA,MEDAK,DUBAK,REV,18.11,78.40, ,313
162,ANDHRA,NALGONDA,DEVARKONDA,REV,16.42,78.55,0290,310
163,ANDHRA,NALGONDA,MIRYALGUDA,REV,16.52,79.35,0125,310
164,ANDHRA,NALGONDA,NAGARJUNSAGARDAM,PWD,16.34,79.19, ,310
165,ANDHRA,NALGONDA,NAGARJUNSAGARDAM,HYDRO,16.34,79.19,0186,310
166,ANDHRA,NALGONDA,BHONGIR,REV,17.31,78.53,0453,310
167,ANDHRA,NALGONDA,SURYAPET,REV,17.08,79.37,0175,310
168,ANDHRA,NALGONDA,RAMANNAPET,REV,17.17,79.06,0309,310
169,ANDHRA,NALGONDA,NALGONDA,OBSY,17.00,79.15,0226,310
170,ANDHRA,NELLORE,VENKATAGIRI TOWN,REV,13.58,79.35,0064,303
171,ANDHRA,NELLORE,SULLURPET,REV,13.47,80.01,0004,303
172,ANDHRA,NELLORE,TADA,REV,13.36,80.02,0010,303
173,ANDHRA,NELLORE,GUDUR,REV,14.09,79.52,0011,303
174,ANDHRA,NELLORE,RAPUR,REV,14.12,79.32,0081,303
175,ANDHRA,NELLORE,UDAYAGIRI,REV,14.53,79.18,0183,304
176,ANDHRA,NELLORE,NELLORE,OBSY,14.27,79.59,0020,304
177,ANDHRA,NELLORE,ATMAKUR,REV,14.37,79.38,0096,304
178,ANDHRA,NELLORE,KAVALI,OBSY,14.54,79.59,0017,305
179,ANDHRA,NELLORE,KAVALI,REV,14.55,80.00,0017,305
180,ANDHRA,NELLORE,SEETHARAMPURAM,REV,15.50,79.10, ,305
181,ANDHRA,NELLORE,VINJAMUR,REV,15.00,79.45, ,305
182,ANDHRA,NIZAMABAD,BODHAN,REV,18.40,77.53,0370,312
183,ANDHRA,NIZAMABAD,BANSWADA,REV,18.23,77.53,0382,312
184,ANDHRA,NIZAMABAD,MEDNOOR,REV,18.00,77.37,0398,312
185,ANDHRA,NIZAMABAD,NIZAMASAGAR,HYDRO,18.05,77.55,0427,312
186,ANDHRA,NIZAMABAD,NIZAMABAD,OBSY,18.40,78.06,0381,313
187,ANDHRA,NIZAMABAD,ARMOOR%ARMUR,REV,18.47,78.17,0374,313
188,ANDHRA,NIZAMABAD,NAVIPET,PWD,18.42,78.02,0365,313
189,ANDHRA,NIZAMABAD,KAMAREDDY,REV,18.19,78.21,0518,313
190,ANDHRA,NIZAMABAD,SHRIRAMSAG.POCHA,HYDRO,18.56,78.20,0312,313
191,ANDHRA,NIZAMBAD,BHEEMGAL,REV,18.45,78.30, ,313
192,ANDHRA,NIZAMABAD,NAVIPET,REV,18.42,78.02,0365,313
193,ANDHRA,PRAKASAM,ADDANKI,REV,15.48,79.58,0035,305
194,ANDHRA,PRAKASAM,PODILI%PODILE,REV,15.38,79.37,0088,305
195,ANDHRA,PRAKASAM,DARSI,REV,15.47,79.41,0104,305
196,ANDHRA,PRAKASAM,KANDUKUR,REV,15.13,79.54,0015,305
