SN,STATE NAME,DISTRICT NAME,STATION NAME,CLASS,LAT,LON,HEIGHT(MTR),CATCH
314,ASSAM,SONITPUR,DHAKIAJULI,HYDRO,26.40,92.29,0080,504
315,ASSAM,SONITPUR,GOHPUR,OBSY,26.50,93.35,0083,504
316,ASSAM,SONITPUR,JIA BHARALI NIX, , . , . , , 
317,ASSAM,NALBARI,NALBARI,HYDRO,26.25,91.30, ,504
318,ASSAM,NALBARI,MELABAZAR,HYDRO,26.48,91.31, ,504
319,ASSAM,BONGAIGAON,PANBARI,HYDRO,26.40,90.52, ,503
320,ASSAM,BONGAIGAON,AIE NH XING,HYDRO,26.40,90.39, ,503
321,ASSAM,MORIGAON,DHARMATAL,HYDRO,26.10,92.21,0057,504
322,ASSAM,GOLAGHAT,BARPATHAR,HYDRO,26.18,93.53,0120,504
323,ASSAM,GOLAGHAT,GOLAGHAT,OBSY,26.31,93.59,0095,504
324,ASSAM,GOLAGHAT,NAMALIGARH,HYDRO,26.40,93.45,0100,504
325,ASSAM,TINSUKIA,MARGHERITA,HYDRO,27.17,95.41, ,504
326,ASSAM,TINSUKIA,DHOLLA BAZAR,HYDRO,27.45,95.37, ,504
327,ASSAM,TINSUKIA,DIGBOI, ,27.23,95.37, ,504
328,ASSAM,HAILAKANDI,GHARMURA,HYDRO,24.22,92.32,0040,326
329,ASSAM,HAILAKANDI,MATIGHURA,HYDRO,24.40,92.36,0021,326
330,BIHAR,ARARIA,FORBESGANJ,OBSY,26.18,87.16,0061,417
331,BIHAR,ARARIA,ARARIA, ,26.08,87.23, ,418
332,BIHAR,AURANGABAD,DAUDNAGAR, ,25.03,84.24, ,414
333,BIHAR,AURANGABAD,DEO, ,24.39,84.25, ,415
334,BIHAR,AURANGABAD,NABINAGAR, ,24.37,84.08, ,415
335,BIHAR,AURANGABAD,RAFIGANJ, ,24.48,84.38, ,415
336,BIHAR,AURANGABAD,PALMERGANJ,HYDRO,24.56,84.25, ,415
337,BIHAR,AURANGABAD,AURANGABAD,HYDRO,24.45,84.23, ,415
338,BIHAR,BEGUSARAI,KODAWANPUR/C.BII, ,25.04,86.08,0040,415
339,BIHAR,BEGUSARAI,CHERIA B.PUR I, ,25.35,86.05, ,415
340,BIHAR,BEGUSARAI,SAHEBPUR KANAL, , . , . , , 
341,BIHAR,BHABUA,BHABUA, ,25.03,83.37, ,409
342,BIHAR,BHABUA,MOHANIA%MAHANIA, ,25.10,83.36, ,409
343,BIHAR,BHABUA,KUDRA,HYDRO,25.03,83.48, ,409
344,BIHAR,BHAGALPUR,BHAGALPUR,OBSY,25.14,86.57,0049,415
345,BIHAR,BHAGALPUR,BIHPUR, ,25.20,86.55, ,415
346,BIHAR,BHAGALPUR,SABOUR,OBSY,25.14,87.04,0037,415
347,BIHAR,BHAGALPUR,COLGONG, , . , . , , 
348,BIHAR,BHOJPUR,KOILWAR, ,25.00,84.00,0095,409
349,BIHAR,BHOJPUR,ARRAH, , . , . , , 
350,BIHAR,BHOJPUR,BARAHARA, , . , . , , 
351,BIHAR,BUXAR,BUXAR,HYDRO,25.34,83.59, ,409
352,BIHAR,CHAMPARAN.EAST,HASSANPUR, ,25.30,85.40, ,415
353,BIHAR,CHAMPARAN.EAST,MOTIHARI,OBSY,26.40,84.55,0066,415
354,BIHAR,CHAMPARAN.EAST,KESSARIAH, ,26.22,84.53, ,415
355,BIHAR,CHAMPARAN.EAST,LALBEGIAGHAT,HYDRO,26.40,85.00, ,415
356,BIHAR,CHAMPARAN.EAST,AHIRWALIA,HYDRO,26.30,85.02, ,415
357,BIHAR,CHAMPARAN.EAST,MAHEDI/MEHSHI, ,26.22,85.07, ,415
358,BIHAR,CHAMPARAN.EAST,PATAHI, ,26.05,85.20, ,415
359,BIHAR,CHAMPARAN.EAST,CHAKIA, , . , . , , 
360,BIHAR,CHAMPARAN.WEST,BALMIKI(TRIBENI),HYDRO,27.25,83.55, ,412
361,BIHAR,CHAMPARAN.WEST,BAGAHA, ,27.06,84.06,0087,413
362,BIHAR,CHAMPARAN.WEST,CHANPATIA,HYDRO,26.57,85.31, ,415
363,BIHAR,CHAMPARAN.WEST,RAMNAGAR,HYDRO,27.10,84.20,0087,415
364,BIHAR,CHAMPARAN.WEST,GAUNAHA,HYDRO,27.21,84.31, ,415
365,BIHAR,DARBHANGA,HAYAGHAT,HYDRO,25.52,86.09, ,417
366,BIHAR,DARBHANGA,DARBHANGA,OBSY,26.10,85.54,0049,417
367,BIHAR,DARBHANGA,JALEY, ,26.22,85.44, ,417
368,BIHAR,GAYA,TEKARI, ,24.55,34.05, ,409
369,BIHAR,GAYA,GAYA AERODROME,OBSY,24.45,84.57,0116,415
370,BIHAR,GAYA,SHERGHATI,HYDRO,24.33,84.48, ,415
371,BIHAR,GAYA,BODH GAYA, ,24.42,85.00,0122,415
372,BIHAR,GOPALGANJ,HATHWA, ,26.22,84.19, ,411
373,BIHAR,GOPALGANJ,BHORE%BORCH<, ,26.27,84.07, ,411
374,BIHAR,GOPALGANJ,KATIYA, ,26.34,84.05, ,411
375,BIHAR,GOPALGANJ,GOPALGANJ, ,26.28,84.27, ,413
376,BIHAR,JAHANABAD,ARWAL,HYDRO,25.14,84.41, ,414
377,BIHAR,JAHANABAD,MAKHDUMPUR,HYDRO,25.09,84.53, ,415
378,BIHAR,JAHANABAD,JAHANABAD, ,25.13,85.00, ,415
379,BIHAR,JAMUI,BANKA,HYDRO,24.53,86.56, ,415
380,BIHAR,JAMUI,SOND,HYDRO,24.40,86.13, ,415
381,BIHAR,JAMUI,JHAJHA,HYDRO,25.23,85.47, ,415
382,BIHAR,JAMUI,GARHI, ,25.05,88.00, ,418
383,BIHAR,KATIHAR,KURSELA,HYDRO,25.30,87.16, ,415
384,BIHAR,KATIHAR,KATIHAR%NORTH, ,25.33,87.35, ,417
385,BIHAR,KATIHAR,MANIHARI, ,25.20,87.37, ,417
386,BIHAR,KATIHAR,JHAWA, , . , . , , 
387,BIHAR,KHAGARIA,GOGRI, ,25.29,86.38, ,415
388,BIHAR,KHAGARIA,PARBATTA, ,25.15,86.40,0137,415
389,BIHAR,KHAGARIA,KHAGARIA,HYDRO,25.35,86.25, ,415
390,BIHAR,KHAGARIA,BALTARA,HYDRO,25.30,86.50, ,417
391,BIHAR,KISHANGANJ,KISHANGANJ, ,26.07,87.56, ,418
392,BIHAR,KISHANGANJ,BAHADURGANJ, ,26.17,87.49, ,418
393,BIHAR,KISHANGANJ,THAKURGANJ, ,26.25,88.05, ,418
394,BIHAR,MADHEPURA,MADHIPURA, ,25.55,86.47, ,417
395,BIHAR,MADHEPURA,MURLIGANJ, ,25.54,87.00,0044,417
396,BIHAR,MADHEPURA,UDAI KISHANGANJ, ,26.42,86.58,0055,417
397,BIHAR,MADHUBANI,SAULIGHAT,HYDRO,26.25,85.50, ,417
398,BIHAR,MADHUBANI,MADHAWAPUR,HYDRO,26.36,85.52,0056,417
399,BIHAR,MADHUBANI,JAINAGAR, ,26.36,86.09, ,417
400,BIHAR,MADHUBANI,JHANJHARPUR,HYDRO,26.16,86.40, ,417
401,BIHAR,MADHUBANI,BALAN,HYDRO,26.37,86.20, ,417
402,BIHAR,MADHUBANI,PHULPARAS,HYDRO,26.25,86.40, ,417
403,BIHAR,MUNGER,MUNGER,HYDRO,25.23,86.28, ,415
404,BIHAR,MUNGER,GARHI,HYDRO,25.05,88.00, ,418
405,BIHAR,MUNGER,HATHIDAH, , . , . , , 
406,BIHAR,MUZAFFARPUR,MUSHARI, ,25.55,85.30, ,415
407,BIHAR,MUZAFFARPUR,REWAGHAT,HYDRO,25.39,85.32, ,415
408,BIHAR,MUZAFFARPUR,SAHEBGANJ, ,26.18,84.56, ,415
409,BIHAR,MUZAFFARPUR,MUZAFFARPUR,OBSY,26.07,85.24,0053,415
410,BIHAR,MUZAFFARPUR,MINAPUR, ,26.15,85.20, ,415
411,BIHAR,MUZAFFARPUR,BENIBAD,HYDRO,26.05,85.35, ,415
412,BIHAR,MUZAFFARPUR,SARAIYA, , . , . , , 
413,BIHAR,MUZAFFARPUR,SIKANDARPUR, , . , . , , 
414,BIHAR,NALANDA,BIHAR, ,25.11,85.33, ,415
415,BIHAR,NALANDA,ISLAMPUR, ,25.09,85.13, ,415
416,BIHAR,NALANDA,ASTHAWAN, ,25.13,85.37, ,415
417,BIHAR,NALANDA,EKANGERSARAI, ,25.13,85.14, ,415
418,BIHAR,NAWADAH,RAJAULI, ,24.39,85.30, ,415
419,BIHAR,NAWADAH,HISUAA, ,24.45,85.25, ,415
420,BIHAR,PATNA,BIKRAM, ,25.27,84.52, ,415
421,BIHAR,PATNA,BIHTA, ,25.33,84.52, ,415
422,BIHAR,PATNA,PATNA AERODROME,OBSY,25.36,85.06,0060,415
423,BIHAR,PATNA,BARH,HYDRO,25.29,85.43, ,415
424,BIHAR,PATNA,SRIPALPUR,HYDRO,25.27,85.02, ,415
425,BIHAR,PURNEA,GALGALIA,HYDRO,25.16,87.15, ,415
426,BIHAR,PURNEA,PURNEA,OBSY,25.46,87.28,0038,417
427,BIHAR,PURNEA,CHARGHARIA,HYDRO,26.17,87.47, ,417
428,BIHAR,PURNEA,DENGRAGHAT, ,25.52,87.47, ,418
429,BIHAR,PURNEA,TAIBPUR,HYDRO,26.22,88.10, ,418
430,BIHAR,ROHTAS,CHENARI, ,24.55,83.48, ,409
431,BIHAR,ROHTAS,BIKRAMGANJ, ,25.10,84.15, ,409
432,BIHAR,ROHTAS,DEHRI,OBSY,24.55,84.11,0107,414
433,BIHAR,ROHTAS,INDERPURI,HYDRO,24.55,84.07, ,414
434,BIHAR,SAHARSA,BASWA,HYDRO,26.07,86.36,0049,417
435,BIHAR,SAHARSA,BIRPUR,HYDRO,26.25,87.00, ,417
436,BIHAR,SAHARSA,SIRMARI B.PUR, , . , . , , 
437,BIHAR,SAMASTIPUR,MORWA%TAJPUR<, ,25.51,85.41,0047,415
438,BIHAR,SAMASTIPUR,SAMASTIPUR,HYDRO,25.52,85.48, ,415
439,BIHAR,SAMASTIPUR,PUSA, ,25.55,85.50, ,415
440,BIHAR,SAMASTIPUR,ROSSERA, ,25.45,86.02, ,415
441,BIHAR,SARAN,CHAPRA,OBSY,25.47,84.44,0058,411
442,BIHAR,SARAN,PARSA, ,26.06,84.16, ,411
443,BIHAR,SARAN,MARHAURA%AMNAR<, ,25.58,84.52,0208,413
444,BIHAR,SARAN,JALALPUR, ,25.55,84.45,0610,413
445,BIHAR,SARAN,MARSRAKH, ,26.07,84.48, ,413
446,BIHAR,SITAMARHI,BAIRGANIA, ,26.45,85.17,0073,415
447,BIHAR,SITAMARHI,BELSAND, ,26.26,85.24, ,415
448,BIHAR,SITAMARHI,DHONG BRIDGE,HYDRO,26.43,85.19, ,415
449,BIHAR,SITAMARHI,SURSAND, ,26.39,85.43, ,417
450,BIHAR,SITAMARHI,SONBARSA,HYDRO,26.50,85.36, ,417
451,BIHAR,SIWAN,GANGPUR SISWAN,HYDRO,25. ,84. , ,411
452,BIHAR,SIWAN,DARAULI, ,26.05,84.08, ,411
453,BIHAR,SIWAN,PANCHRUKHI, ,26.05,84.25, ,411
454,BIHAR,SIWAN,MAHARAJGANJ, ,26.05,84.30, ,413
455,BIHAR,SUPAUL,TRIBENIGANJ, ,26.07,86.54,0056,417
456,BIHAR,SUPAUL,SUPAUL,OBSY,26.08,86.35,0050,417
457,BIHAR,SUPAUL,NIRMALI,HYDRO,26.20,86.40, ,417
458,BIHAR,SUPAUL,BIHPUR(BASANTPU), ,26.31,87.01, ,417
459,BIHAR,SUPAUL,BHIMNAGAR, , . , . , , 
460,BIHAR,VAISHALI,LALGANJ, ,25.52,85.12, ,415
461,BIHAR,VAISHALI,VAISHALI, , . , . , , 
462,GUJARAT,AHMEDABAD,SANAND, ,22.59,72.23,0060,106
463,GUJARAT,AHMEDABAD,DHOLKA, ,22.43,72.27,0053,106
464,GUJARAT,AHMEDABAD,AHMEDABAD AERO,OBSY,23.04,72.38,0055,106
465,GUJARAT,AHMEDABAD,DHANDHUKA, ,22.22,71.59, ,107
466,GUJARAT,AHMEDABAD,RANPUR, ,22.21,71.43, ,107
467,GUJARAT,AHMEDABAD,BARWALA, ,22.06,71.55, ,107
468,GUJARAT,AHMEDABAD,MANDAL, ,23.17,71.55, ,107
469,GUJARAT,AHMEDABAD,VIRAMGAM, ,23.07,72.03,0029,107
470,GUJARAT,AHMEDABAD,DASKOROI, , . , . , , 
471,GUJARAT,AHMEDABAD,DETROI, , . , . , , 
472,GUJARAT,AMRELI,KODINAR, ,20.47,70.43,0081,107
473,GUJARAT,AMRELI,JAFRABAD, ,20.51,71.22, ,107
474,GUJARAT,AMRELI,KHAMBHA, ,21.08,71.15, ,107
475,GUJARAT,AMRELI,LILIA, ,21.32,71.21, ,107
476,GUJARAT,AMRELI,LATHI, ,21.43,71.23, ,107
477,GUJARAT,AMRELI,RAJULA, ,21.04,71.27, ,107
478,GUJARAT,AMRELI,BABRA, ,21.50,71.18, ,107
479,GUJARAT,AMRELI,DHARI, ,21.20,71.02, ,107
480,GUJARAT,AMRELI,AMRELI,OBSY,21.36,71.13,0122,107
481,GUJARAT,AMRELI,BAGSRA, ,23.02,70.38, ,107
482,GUJARAT,AMRELI,SAVARKUNDLA, , . , . , , 
483,GUJARAT,BANASKANTHA,THARAD, ,24.23,71.37,0058,107
484,GUJARAT,BANASKANTHA,KANKREJ, ,24.03,71.45, ,107
485,GUJARAT,BANASKANTHA,WAV, ,24.22,71.31, ,107
486,GUJARAT,BANASKANTHA,DEESA,OBSY,24.12,72.12,0136,107
487,GUJARAT,BANASKANTHA,PALANPUR, ,24.10,72.26,0215,107
488,GUJARAT,BANASKANTHA,DANTA, ,24.12,72.46,0307,107
489,GUJARAT,BANASKANTHA,VADGAM, ,24.04,72.29,0213,107
490,GUJARAT,BANASKANTHA,DANTIWADA,HYDRO,24.10,72.29,0151,107
491,GUJARAT,BANASKANTHA,DHANERA, ,24.31,72.02,0132,108
492,GUJARAT,BARODA,SINOR, ,21.55,73.20,0029,104
493,GUJARAT,BARODA,DABHOI, ,22.07,73.26, ,104
494,GUJARAT,BARODA,SANKHEDA, ,22.10,73.35,0057,104
495,GUJARAT,BARODA,CHHOTA-UDEPUR, ,22.18,74.01, ,104
496,GUJARAT,BARODA,SAVLI, ,22.34,73.13,0050,105
497,GUJARAT,BARODA,PADRA, ,22.14,73.05,0031,105
498,GUJARAT,BARODA,WAGHODIA, ,22.20,73.20,0051,105
499,GUJARAT,BARODA,KARJAN, ,22.03,73.08,0028,105
500,GUJARAT,BARODA,BARODA AERO,OBSY,22.20,73.16,0038,105
501,GUJARAT,BARODA,BODELI,HYDRO,22.34,73.54, ,105
502,GUJARAT,BHAUNAGAR,PALITANA, ,21.31,71.50,0498,107
503,GUJARAT,BHAUNAGAR,UMRALA, ,21.51,71.48, ,107
504,GUJARAT,BHAUNAGAR,SIHOR, ,21.42,71.57, ,107
505,GUJARAT,BHAVNAGAR,GOGHA, ,21.41,71.17,0405,107
506,GUJARAT,BHAUNAGAR,MAHUVA,OBSY,21.05,71.47,0009,107
507,GUJARAT,BHAUNAGAR,VALLABHIPUR, ,21.50,71.55,0405,107
508,GUJARAT,BHAVNAGAR,GARIDHAR, ,21.33,71.37, ,107
509,GUJARAT,BHAUNAGAR,BHAUNAGAR AERO,OBSY,21.45,72.11,0011,107
510,GUJARAT,BHAUNAGAR,TALAJA, ,21.22,72.03, ,107
511,GUJARAT,BHAUNAGAR,BOTAD, ,22.10,71.40,0120,107
512,GUJARAT,BROACH,HANSOT, ,21.35,72.49,0020,104
513,GUJARAT,BROACH,BROACH,OBSY,21.42,73.00,0017,104
514,GUJARAT,BROACH,ANKLESHWAR, ,21.38,73.00,0020,104
515,GUJARAT,BROACH,VALIA, ,21.33,73.09, ,104
516,GUJARAT,BROACH,JHAGADIA, ,21.43,73.11,0019,104
517,GUJARAT,BROACH,VAGRA, ,21.51,72.51,0046,105
518,GUJARAT,BROACH,JAMBUSAR, ,22.03,72.48, ,105
519,GUJARAT,BROACH,AMOD, ,22.00,72.52,0038,105
520,GUJARAT,BULSAR/VALSAD,UMBERGAON, ,20.12,72.46,0015,102
521,GUJARAT,BULSAR/VALSAD,JALALPUR, ,20.57,72.54, ,102
522,GUJARAT,BULSAR/VALSAD,PARDI, ,20.31,72.57,0073,102
523,GUJARAT,BULSAR/VALSAD,BULSAR,OBSY,20.37,72.56,0015,102
524,GUJARAT,BULSAR/VALSAD,DHARAMPUR, ,20.33,73.11,0038,102
525,GUJARAT,BULSAR/VALSAD,NANIPALSON,HYDRO,20.12,73.16, ,102
526,GUJARAT,BULSAR/VALSAD,VAPI, , . , . , , 
527,GUJARAT,DANGS,AHWA, ,20.45,73.41,0487,102
528,GUJARAT,JAMNAGAR,BHANWAD, ,21.56,69.47, ,107
529,GUJARAT,JAMNAGAR,DWARKA,OBSY,22.22,69.05,0011,107
530,GUJARAT,JAMNAGAR,LALPUR, ,22.12,69.58,0069,107
531,GUJARAT,JAMNAGAR,OKHA,OBSY,22.29,69.07,0007,107
532,GUJARAT,JAMNAGAR,KALYANPUR, ,22.05,69.22, ,107
533,GUJARAT,JAMNAGAR,DHROL, ,22.34,70.25,0031,107
534,GUJARAT,JAMNAGAR,KALWAD, ,22.13,70.23, ,107
535,GUJARAT,JAMNAGAR,JODIA, ,22.42,70.19,0008,107
536,GUJARAT,JAMNAGAR,JAMNAGAR AERO,OBSY,22.29,70.04,0023,107
537,GUJARAT,JUNAGADH,VERAVAL,OBSY,20.54,70.22,0008,107
538,GUJARAT,JUNAGADH,JUNAGADH, ,21.31,70.28,0082,107
539,GUJARAT,JUNAGADH,MANGROL, ,21.07,70.07,0062,107
540,GUJARAT,JUNAGADH,VANTHALI, ,21.28,70.20, ,107
541,GUJARAT,JUNAGADH,TALALA, ,21.03,70.32,0087,107
542,GUJARAT,JUNAGADH,MALIA, ,21.09,70.18,0043,107
543,GUJARAT,JUNAGADH,MANAVADAR, ,21.30,70.09,0023,107
544,GUJARAT,JUNAGADH,KESHOD AERO,OBSY,21.19,70.19,0051,107
545,GUJARAT,JUNAGADH,SUTRAPADA, , . , . , , 
546,GUJARAT,KAIRA/KHEDA,CAMBAY, ,22.19,72.37,0034,105
547,GUJARAT,KAIRA/KHEDA,KAIRA/KHEDA, ,22.45,72.42,0036,106
548,GUJARAT,KAIRA/KHEDA,MEHMEDABAD, ,22.50,72.45,0036,106
549,GUJARAT,KAIRA/KHEDA,MATAR, ,22.42,72.38,0036,106
550,GUJARAT,KAIRA/KHEDA,NADIAD, ,22.42,72.52,0037,106
551,GUJARAT,KAIRA/KHEDA,MAHUDA, ,22.49,72.56, ,106
552,GUJARAT,KAIRA/KHEDA,PETLAD, ,22.28,72.48,0047,106
553,GUJARAT,KAIRA/KHEDA,KATHLAL, ,22.54,72.59, ,106
554,GUJARAT,KAIRA/KHEDA,THASRA, ,22.48,73.13,0079,106
555,GUJARAT,KAIRA/KHEDA,BALASINOR, ,22.57,73.20,0085,106
556,GUJARAT,KAIRA/KHEDA,WANAKBORI,HYDRO,22.57,73.26, ,106
557,GUJARAT,KAIRA/KHEDA,KAPADVANJ, ,23.02,73.04,0086,106
558,GUJARAT,KUTCH,MUNDRA, ,22.51,69.44,0005,109
559,GUJARAT,KUTCH,MANDVI,OBSY,22.49,69.16,0009,109
560,GUJARAT,KUTCH,LAKHAPAT, ,23.50,68.47,0008,109
561,GUJARAT,KUTCH,NALIYA,OBSY,23.15,68.51,0021,109
562,GUJARAT,KUTCH,NAKHATRANA, ,23.22,69.16,0046,109
563,GUJARAT,KUTCH,BHUJ/R.MATA A.,OBSY,23.15,69.40,0080,109
564,GUJARAT,KUTCH,ANJAR, ,23.07,70.02,0075,109
565,GUJARAT,KUTCH,RAHAPUR, ,23.34,70.38,0084,109
566,GUJARAT,KUTCH,BACHAU, ,23.18,70.20,0101,109
567,GUJARAT,KUTCH,KANDLA NEW,OBSY,23.00,70.13,0014,109
568,GUJARAT,KUTCH,ABDASA, , . , . , , 
569,GUJARAT,KUTCH,GANDHI DHAM, , . , . , , 
570,GUJARAT,MEHSANA,KALOL, ,23.14,72.30,0069,106
571,GUJARAT,MEHSANA,VIJAPUR, ,23.34,72.45,0096,106
572,GUJARAT,MEHSANA,MANSA, ,23.25,72.40,0099,106
573,GUJARAT,MEHSANA,DHAROI COLONY,HYDRO,24.00,72.51, ,106
574,GUJARAT,MEHSANA,SAMI, ,23.41,71.47,0065,107
575,GUJARAT,MEHSANA,MEHSANA, ,23.37,72.23,0094,107
576,GUJARAT,MEHSANA,VISNAGAR, ,23.42,72.33,0027,107
577,GUJARAT,MEHSANA,KADI, ,23.18,72.20, ,107
578,GUJARAT,MEHSANA,KHERALU, ,23.53,72.38,0244,107
579,GUJARAT,MEHSANA,CHANASAMA, ,23.43,72.07,0070,107
580,GUJARAT,MEHSANA,BECHARAJI, , . , . , , 
581,GUJARAT,MEHSANA,VADNAGAR, , . , . , , 
582,GUJARAT,MEHSANA,SATLASANA, , . , . , , 
583,GUJARAT,MEHSANA,UNJHA, , . , . , , 
584,GUJARAT,PANCH-MAHALS,JAMBUGHODA,HYDRO,22.23,73.44,0108,104
585,GUJARAT,PANCH-MAHALS,KALOL, ,22.37,73.28, ,105
586,GUJARAT,PANCH-MAHALS,HALOL, ,22.30,73.29, ,105
587,GUJARAT,PANCH-MAHALS,D.BARIA, ,22.42,73.55,0205,105
588,GUJARAT,PANCH-MAHALS,SHEHRA, ,22.57,73.38,0111,105
589,GUJARAT,PANCH-MAHALS,GODHRA,HYDRO,22.47,73.37, ,105
590,GUJARAT,PANCH-MAHALS,LUNAWADA, ,23.08,73.37, ,105
591,GUJARAT,PANCH-MAHALS,SANTRAMPUR%SANT<, ,23.11,73.52, ,105
592,GUJARAT,PANCH-MAHALS,KADANA, ,23.18,73.47, ,105
593,GUJARAT,PANCH-MAHALS,KHANPUR, , . , . , , 
594,GUJARAT,RAJKOT,GONDAL, ,21.58,70.48,0142,107
595,GUJARAT,RAJKOT,DHORAJI, ,21.44,70.27,0065,107
596,GUJARAT,RAJKOT,JETPUR-MONI, ,21.45,70.38,0024,107
597,GUJARAT,RAJKOT,UPLET, ,21.43,70.18, ,107
598,GUJARAT,RAJKOT,RAJKOT AERO,OBSY,22.18,70.47,0138,107
599,GUJARAT,RAJKOT,MORVI, ,22.49,70.50,0090,107
600,GUJARAT,RAJKOT,WANKANER, ,22.37,70.56,0058,107
601,GUJARAT,RAJKOT,LODHIKA, ,22.08,70.38, ,107
602,GUJARAT,RAJKOT,JASDAN, ,22.02,71.12, ,107
603,GUJARAT,RAJKOT,MALIA MIYANE, ,23.07,70.37, ,107
604,GUJARAT,SABARKANTHA,PRANTIJ, ,23.26,72.52,0114,106
605,GUJARAT,SABARKANTHA,HIMATNAGAR,HYDRO,23.36,72.58,0134,106
606,GUJARAT,SABARKANTHA,BYAD, ,23.13,73.14, ,106
607,GUJARAT,SABARKANTHA,MODASA, ,23.27,73.17,0185,106
608,GUJARAT,SABARKANTHA,VIJAYNAGAR,HYDRO,23.59,73.17,0321,106
609,GUJARAT,SABARKANTHA,MEGHRAJ, ,23.30,73.30, ,106
610,GUJARAT,SABARKANTHA,BHILODA, ,23.46,73.15, ,106
611,GUJARAT,SABARKANTHA,IDAR,OBSY,23.50,73.02,0219,106
612,GUJARAT,SABARKANTHA,KHEDBRAHMA,HYDRO,24.23,73.03,0206,106
613,GUJARAT,SABARKANTHA,DHANSURA, , . , . , , 
614,GUJARAT,SURAT,PALSANA, ,21.06,72.59, ,102
615,GUJARAT,SURAT,BARDOLI, ,21.07,73.07, ,102
616,GUJARAT,SURAT,VALOD, ,21.03,73.16, ,102
617,GUJARAT,SURAT,MAHUWA, ,21.02,73.07,0043,102
618,GUJARAT,SURAT,VYARA, ,21.07,73.24,0028,102
619,GUJARAT,SURAT,SONGADH FORT,HYDRO,21.11,73.33, ,102
620,GUJARAT,SURAT,KAMREJ, ,21.17,72.59,0020,103
621,GUJARAT,SURAT,SURAT,OBSY,21.12,72.50,0012,103
622,GUJARAT,SURAT,MANDVI, ,21.15,73.18, ,103
623,GUJARAT,SURAT,UKAI, ,21.19,73.43, ,103
624,GUJARAT,SURAT,KAKRAPAR,HYDRO,21.16,73.14, ,103
625,GUJARAT,SURAT,NIZAR, ,21.35,74.18, ,103
626,GUJARAT,SURAT,OLPAD, ,21.21,72.45, ,104
627,GUJARAT,SURAT,MANGROL, ,21.28,73.08, ,104
628,GUJARAT,SURENDRANAGAR,WADHWAN, ,22.42,71.40,0076,107
629,GUJARAT,SURENDRANAGAR,DHRANGADHRA, ,22.59,71.28,0053,107
630,GUJARAT,SURENDRANAGAR,CHUDA, ,22.29,71.41,0309,107
631,GUJARAT,SURENDRANAGAR,LIMBADI, ,22.34,71.48, ,107
632,GUJARAT,SURENDRANAGAR,LAKNTAR, ,22.52,71.47, ,107
633,GUJARAT,SURENDRANAGAR,CHOTILA, ,22.55,71.15, ,107
634,GUJARAT,SURENDRANAGAR,MULI, ,22.37,71.27,0114,107
635,GUJARAT,SURENDRANAGAR,SAYALA, ,22.33,71.28,0145,107
636,GUJARAT,SURENDRANAGAR,KHARAGHODA, ,23.10,71.43,0012,107
637,GUJARAT,SURENDRANAGAR,HALWAD, ,23.06,71.11,0044,107
638,GUJARAT,GANDHINAGAR,GANDHINAGAR,OBSY,23.14,72.43,0082,106
639,GUJARAT,GANDHINAGAR,DAHEGAM, , . , . , , 
640,GUJARAT,ANAND,BORSAD, ,22.26,72.54,0052,105
641,GUJARAT,ANAND,ANAND, ,22.33,72.58,0043,106
642,GUJARAT,ANAND,V.VIDYANAGAR SR,OBSY,22.34,72.56,0044,106
643,GUJARAT,ANAND,SOJITRA, , . , . , , 
644,GUJARAT,ANAND,TARAPUR, , . , . , , 
645,GUJARAT,ANAND,UMARETH, , . , . , , 
646,GUJARAT,ANAND,ANKLAV, , . , . , , 
647,GUJARAT,ANAND,KHAMBHAT, , . , . , , 
648,GUJARAT,DOHAD,DOHAD,OBSY,22.50,74.16,0333,105
649,GUJARAT,DOHAD,LIMKHEDA, ,22.50,74.00, ,105
650,GUJARAT,DOHAD,JHALOD, ,23.06,74.09, ,105
651,GUJARAT,DOHAD,DHANPUR, , . , . , , 
652,GUJARAT,DOHAD,FATEPURA, , . , . , , 
653,GUJARAT,DOHAD,GARBADA, , . , . , , 
654,GUJARAT,NARMADA,SAGBARA, ,21.33,73.48, ,103
655,GUJARAT,NARMADA,DEDIAPADA, ,21.38,73.35,0190,104
656,GUJARAT,NARMADA,TILAKWADA, ,21.53,73.35,0152,104
657,GUJARAT,NARMADA,RAJPIPALA,HYDRO,21.52,73.30, ,104
658,GUJARAT,NARMADA,NANDOL, , . , . , , 
659,GUJARAT,NAVSARI,NAVSARI, ,20.57,72.56,0025,102
660,GUJARAT,NAVSARI,CHIKHLI, ,20.45,73.04,0009,102
661,GUJARAT,NAVSARI,BANSDA, ,20.46,73.22,0076,102
662,GUJARAT,NAVSARI,GANDEVI, ,20.48,73.00,0094,102
663,GUJARAT,PATAN,HART%HARIJ<, ,23.42,71.55,0061,107
664,GUJARAT,PATAN,RADHANPUR,OBSY,23.50,71.36,0030,107
665,GUJARAT,PATAN,PATAN, ,23.51,72.06,0082,107
666,GUJARAT,PATAN,SIDHPUR, ,23.55,72.23,0133,107
667,GUJARAT,PORBANDAR,RANAWAO, ,21.41,69.45,0063,107
668,GUJARAT,PORBANDAR,PORBANDAR AERO,OBSY,21.39,69.40,0007,107
669,GUJARAT,PORBANDAR,KUTIANA, , . , . , , 
670,HARYANA,AMBALA,AMBALA,OBSY,30.23,76.46,0272,202
671,HARYANA,AMBALA,KALKA, ,30.50,76.56,0686,202
