State,Month,TotalPrecipitation,AverageMinTemperature,AverageMaxTemperature,AverageRelativeHumidity
MANIPUR,2004-04,1419.15507,16.60521,26.71698,0.81485
NAGALAND,2008-06,2945.05696,18.38905,23.84646,0.93083
MANIPUR,2007-06,1869.97613,20.11966,27.99982,0.88641
ANDAMAN AND NICOBAR ISLANDS,2006-11,419.66510,27.53580,28.45243,0.78322
ANDAMAN AND NICOBAR ISLANDS,2007-04,53.55406,28.42140,29.52387,0.78811
HIMACHAL PRADESH,2013-12,462.17905,5.84971,18.60376,0.46720
UTTAR PRADESH,2007-01,1087.32804,8.51396,26.36414,0.36963
JAMMU AND KASHMIR,2007-04,515.33004,9.81230,25.50003,0.43470
ARUNACHAL PRADESH,2009-07,7975.31530,20.25073,26.30102,0.89631
UTTARAKHAND,2006-11,749.27704,12.32098,26.47048,0.36384
UTTARAKHAND,2013-05,884.50412,21.77709,37.32294,0.26184
ARUNACHAL PRADESH,2000-02,253.54844,3.66247,17.62904,0.67694
JAMMU AND KASHMIR,2001-05,453.79917,13.02384,31.26380,0.30876
UTTARAKHAND,2011-05,719.63486,21.94601,36.12427,0.34089
GUJARAT,2005-09,6487.19955,25.36294,31.74102,0.77359
JAMMU AND KASHMIR,2007-05,964.83334,13.08452,27.68106,0.42937
MADHAYA PRADESH,2000-11,502.64224,12.36482,32.47011,0.32972
MADHAYA PRADESH,2001-12,308.96117,9.41162,28.94077,0.38975
ORISSA,2001-09,5885.91240,24.03032,33.33250,0.72897
GUJARAT,2003-09,3255.85432,25.11439,31.33648,0.75891
UTTAR PRADESH,2009-05,4530.86918,28.24108,43.22894,0.28644
TAMILNADU,2013-04,1677.32441,23.92161,36.65635,0.58095
GUJARAT,2003-11,1409.81622,20.68120,32.98967,0.42585
KARNATAKA,2004-05,6042.19342,22.70402,31.68053,0.70965
HARYANA,2012-10,1345.80553,17.88363,33.00491,0.46497
MAHARASHTRA,2007-05,1014.36936,26.93111,39.22621,0.39384
MANIPUR,2001-04,221.94057,15.72979,31.50099,0.52294
CHATISGARH,2013-10,3515.15953,19.66971,28.72633,0.81149
MEGHALAYA,2003-08,1618.32308,23.19810,29.79529,0.88427
JAMMU AND KASHMIR,2007-07,690.89430,16.88258,29.57794,0.50934
MAHARASHTRA,2009-09,8053.64205,22.93653,30.90636,0.77007
TELANGANA,2002-11,108.68062,15.64691,31.22599,0.51129
ORISSA,2007-12,852.35543,13.67349,28.70220,0.55842
HARYANA,2011-03,233.05766,13.95829,30.82620,0.48541
ORISSA,2000-11,1602.78601,15.55327,31.21132,0.60177
JHARKHAND,2004-03,134.85355,18.93298,36.27680,0.29028
TELANGANA,2006-09,2431.00594,22.70381,31.53051,0.77539
BIHAR,2004-10,5768.24112,19.99135,31.46860,0.67249
DAMAN AND DIU,2013-05,0.01030,28.56176,29.63744,0.77552
ORISSA,2011-01,424.24191,10.55752,27.99748,0.56209
ORISSA,2005-10,10576.41008,22.22824,29.00978,0.85036
NEW DELHI,2010-12,7.35855,8.01981,21.31439,0.57628
NEW DELHI,2003-03,0.06866,13.38010,33.41190,0.25371
NEW DELHI,2005-07,231.93225,26.99526,35.61565,0.62067
ARUNACHAL PRADESH,2005-12,22.22386,6.05262,20.72982,0.54824
DADRA AND NAGAR HAVELI,2007-01,62.74369,23.35245,28.06848,0.57231
ARUNACHAL PRADESH,2012-06,5655.87593,18.52553,25.15474,0.86438
UTTAR PRADESH,2011-02,1218.37165,10.82500,26.56264,0.56220
ANDAMAN AND NICOBAR ISLANDS,2010-04,36.43255,29.39173,30.43700,0.77044
WEST BENGAL,2006-04,692.80715,24.42206,39.25467,0.47100
ANDAMAN AND NICOBAR ISLANDS,2004-10,468.78379,27.77006,28.91329,0.77497
TRIPURA,2012-08,2719.69411,25.15777,29.68497,0.91431
KERALA,2006-04,1055.21524,25.89464,32.28910,0.74675
WEST BENGAL,2010-02,160.22437,15.54569,30.76937,0.51163
ASSAM,2004-07,19946.51960,23.74161,30.33382,0.89035
LAKSHADWEEP,2002-04,203.09261,27.99150,29.67950,0.79802
GUJARAT,2000-05,3904.06117,26.75920,37.26112,0.57717
PUNJAB,2001-06,971.08508,30.35493,43.72797,0.32529
MAHARASHTRA,2003-11,453.15567,17.99982,31.58973,0.50085
KERALA,2011-02,1005.06476,24.49822,28.75497,0.69614
GUJARAT,2007-08,11942.50258,25.56155,29.45870,0.84834
BIHAR,2003-03,534.25927,17.95609,34.89564,0.32425
PUNJAB,2000-05,1297.13315,27.56604,44.47224,0.24980
HARYANA,2002-11,1389.96332,13.38975,30.18001,0.34296
NAGALAND,2009-07,2470.39786,19.24266,25.20401,0.92569
TRIPURA,2012-09,2206.84234,25.04835,29.90865,0.90906
ASSAM,2007-06,11733.34359,23.62976,32.45195,0.83087
ASSAM,2007-11,1480.61536,14.53870,27.23842,0.78991
PUNJAB,2007-07,982.53032,29.32704,40.83287,0.47850
PUNJAB,2000-04,745.40661,20.60376,40.67038,0.21974
CHANDIGARH,2009-04,2.01702,19.78133,38.29993,0.24135
DAMAN AND DIU,2003-10,12.95528,27.59895,30.31585,0.65022
GOA,2010-09,1087.40619,24.53037,28.12157,0.85789
DADRA AND NAGAR HAVELI,2013-11,77.52600,25.77683,28.64977,0.60620
HIMACHAL PRADESH,2010-01,246.38000,3.74042,16.69758,0.62225
JAMMU AND KASHMIR,2008-07,1705.76608,16.93580,30.13209,0.56284
DADRA AND NAGAR HAVELI,2006-07,876.56615,27.06958,27.72990,0.86057
UTTARAKHAND,2013-11,386.10651,9.89126,24.63279,0.39141
JAMMU AND KASHMIR,2011-02,2397.64145,-0.09449,9.67046,0.68781
MAHARASHTRA,2012-01,157.40446,14.71214,28.67395,0.45008
ANDHRA PRADESH,2011-02,225.95567,15.89886,31.88127,0.61465
KERALA,2010-10,5494.19585,24.46348,28.19595,0.83287
GUJARAT,2005-08,4826.55060,25.26941,29.58622,0.81212
MADHAYA PRADESH,2004-02,54.92046,11.71355,30.60402,0.32414
ANDHRA PRADESH,2003-03,599.13758,21.60118,36.99974,0.53359
ANDHRA PRADESH,2007-08,4146.23571,24.36866,31.90962,0.73907
GUJARAT,2005-02,94.60766,16.86545,30.62817,0.43914
GUJARAT,2008-01,759.37367,14.94661,28.04274,0.40135
LADAKH,2010-02,151.52677,-17.38702,-7.07889,0.81373
NAGALAND,2005-06,966.15698,16.88638,27.32274,0.79578
NAGALAND,2006-07,1404.11985,18.71847,26.13594,0.88761
KERALA,2003-05,3305.11723,26.83743,31.67225,0.77049
WEST BENGAL,2009-11,2303.00120,18.31971,29.05283,0.66678
HARYANA,2011-12,426.90655,7.67443,23.29052,0.50145
LADAKH,2009-02,115.11699,-18.81573,-6.27739,0.80084
MIZORAM,2004-02,0.43373,10.50884,29.34869,0.48490
ANDHRA PRADESH,2008-06,2193.67174,26.47542,35.69393,0.56811
SIKKIM,2000-11,0.40255,10.52754,21.19017,0.58503
MANIPUR,2009-08,1947.59493,20.73298,27.36305,0.91816
TELANGANA,2011-01,3.76949,13.36882,29.29009,0.46865
SIKKIM,2005-10,214.71489,16.37039,23.92380,0.65177
MIZORAM,2004-10,315.88613,19.31843,30.74824,0.83043
ORISSA,2005-05,1824.71573,25.78546,42.08448,0.46495
ARUNACHAL PRADESH,2008-07,9170.27251,19.93235,26.17383,0.88939
ANDAMAN AND NICOBAR ISLANDS,2012-08,97.40508,27.68161,29.63055,0.73706
DADRA AND NAGAR HAVELI,2006-12,60.18963,24.36174,28.53213,0.60951
