State,Month,TotalPrecipitation,AverageMinTemperature,AverageMaxTemperature,AverageRelativeHumidity
UTTAR PRADESH,2010-08,23906.41379,26.42796,33.60396,0.78352
RAJASTHAN,2000-10,258.39702,18.30770,38.02061,0.21489
RAJASTHAN,2012-03,16.07963,14.26226,34.30303,0.20718
KERALA,2001-06,11610.20890,25.10332,27.57689,0.84814
KERALA,2001-09,5433.28133,24.42740,28.60227,0.81621
MAHARASHTRA,2004-11,1685.05520,18.01475,30.89250,0.50898
PUDUCHERRY,2006-03,106.87638,23.05494,35.34032,0.65494
UTTARAKHAND,2013-12,328.19049,7.36638,21.55440,0.38824
NAGALAND,2013-07,3510.01785,19.58706,25.12441,0.94470
ARUNACHAL PRADESH,2008-06,7613.35643,19.12942,25.97006,0.87256
ASSAM,2006-03,133.38477,14.29567,33.53984,0.38018
BIHAR,2001-05,3335.74052,27.95690,41.55970,0.39649
JHARKHAND,2003-11,660.71168,14.23926,26.99185,0.63794
JHARKHAND,2013-04,463.76024,21.83431,38.09588,0.33120
RAJASTHAN,2011-08,15494.74009,25.08753,31.40832,0.81491
MEGHALAYA,2011-10,279.90721,20.66600,31.26056,0.73592
MEGHALAYA,2009-12,109.94566,12.88409,24.68041,0.73963
KARNATAKA,2011-01,32.35378,14.98919,29.83677,0.51970
ORISSA,2002-01,819.65698,13.81240,28.30333,0.61719
NAGALAND,2005-10,1585.67196,13.06524,22.13410,0.92354
NAGALAND,2013-09,3279.68931,17.48430,24.75186,0.93687
DAMAN AND DIU,2005-12,0.00000,23.09052,26.46221,0.53750
CHANDIGARH,2008-11,0.00000,13.18797,28.54283,0.34631
CHANDIGARH,2012-02,0.11501,5.99138,22.18676,0.52492
NEW DELHI,2000-07,275.35372,27.21794,35.76213,0.61809
GOA,2006-10,622.78067,24.95466,30.80355,0.77582
NEW DELHI,2009-06,1.11465,30.54873,44.85590,0.16676
DAMAN AND DIU,2004-08,1825.59722,27.27637,28.08687,0.82304
DAMAN AND DIU,2007-10,2.02217,27.38969,29.73739,0.63181
GOA,2004-12,0.00000,22.22773,31.97848,0.50984
HIMACHAL PRADESH,2010-03,422.00366,10.35907,26.62018,0.48054
HIMACHAL PRADESH,2011-04,1352.84295,14.95295,28.92126,0.43423
ARUNACHAL PRADESH,2008-03,1723.99858,11.61844,22.42555,0.66393
CHATISGARH,2001-06,3551.22524,25.84321,35.08951,0.58745
UTTAR PRADESH,2003-10,4091.75283,17.95955,31.49386,0.59641
RAJASTHAN,2005-09,3936.16394,24.32467,35.32851,0.58512
MEGHALAYA,2010-11,180.86715,16.57610,27.64745,0.74610
PUDUCHERRY,2006-12,37.32262,22.14563,30.35223,0.72965
SIKKIM,2002-09,188.41209,19.52142,26.77510,0.66247
MADHAYA PRADESH,2010-08,14632.39299,23.89093,30.10340,0.86303
ASSAM,2000-10,3321.58219,18.61783,31.05472,0.80478
ORISSA,2002-07,10404.05454,26.17377,34.67754,0.68198
DADRA AND NAGAR HAVELI,2011-01,57.79380,22.65613,27.41119,0.57611
WEST BENGAL,2010-11,1846.05695,19.60022,30.16658,0.67635
WEST BENGAL,2009-07,8079.07969,26.57423,32.71937,0.80169
HARYANA,2006-10,1785.25895,19.49914,35.59456,0.38737
ASSAM,2010-04,9036.53730,20.67577,30.78444,0.80284
ASSAM,2010-08,9509.27166,24.32459,31.51403,0.87712
MEGHALAYA,2011-06,1105.60151,23.72034,31.93056,0.78731
TELANGANA,2004-02,69.62655,16.42952,32.30252,0.42320
KERALA,2004-05,9517.26489,25.63097,29.02376,0.83054
PUNJAB,2006-10,1369.16583,18.48340,35.00991,0.42606
CHATISGARH,2003-11,162.98423,14.15871,29.56276,0.57326
GUJARAT,2003-10,2325.58669,22.51665,34.69987,0.49802
GUJARAT,2002-11,2169.55527,20.90316,33.62635,0.38580
KARNATAKA,2002-05,3753.59219,23.75086,35.74674,0.60334
ORISSA,2010-11,3628.30994,20.01015,29.66862,0.75171
TAMILNADU,2011-10,12565.16678,22.14046,29.94355,0.80678
TRIPURA,2000-06,1385.32914,24.78935,31.48837,0.86903
SIKKIM,2003-12,29.44207,7.90424,17.84370,0.41790
MIZORAM,2000-02,1.40820,11.97945,28.10720,0.41333
SIKKIM,2011-01,33.79325,5.24594,13.78582,0.49226
GUJARAT,2013-02,153.13710,18.32988,30.53291,0.46098
CHANDIGARH,2011-09,424.18217,22.25683,29.98593,0.86802
CHANDIGARH,2000-12,0.36049,6.49265,25.41494,0.26362
LAKSHADWEEP,2013-03,49.08943,28.08394,29.26145,0.73872
DAMAN AND DIU,2006-02,0.00000,25.23266,27.84516,0.56621
CHANDIGARH,2005-05,3.38087,24.85926,40.99790,0.15168
NEW DELHI,2006-09,43.45150,23.97443,36.51447,0.49995
ARUNACHAL PRADESH,2012-10,4812.40832,14.28506,23.52629,0.76882
ANDAMAN AND NICOBAR ISLANDS,2004-08,126.25522,28.23123,30.10913,0.73231
MADHAYA PRADESH,2006-10,1279.98275,19.10347,33.84213,0.50507
TRIPURA,2012-04,1362.09848,22.58942,33.75634,0.72007
MEGHALAYA,2002-03,138.54596,14.92436,30.79357,0.48619
RAJASTHAN,2012-04,373.56768,21.74232,38.94825,0.23918
ANDHRA PRADESH,2003-06,2257.88681,27.68255,38.18746,0.52473
BIHAR,2004-07,11762.23995,26.61340,34.37223,0.72050
GUJARAT,2011-09,8698.11932,24.79854,29.45855,0.83115
PUNJAB,2007-01,329.90987,5.49623,22.51417,0.49052
TAMILNADU,2013-01,812.47927,17.94298,30.61798,0.67529
MIZORAM,2005-12,14.42471,12.15610,26.74787,0.76035
JAMMU AND KASHMIR,2005-05,1515.49797,9.72185,24.20309,0.49151
TRIPURA,2011-12,5.35641,12.94522,26.82949,0.64281
BIHAR,2009-03,308.06783,17.96723,35.96472,0.32193
JHARKHAND,2004-05,1329.35767,26.43290,41.74908,0.35103
MAHARASHTRA,2002-05,1428.72907,27.54468,40.02310,0.41171
ASSAM,2003-12,279.01463,10.41707,24.32217,0.76676
CHANDIGARH,2010-10,10.08768,18.75890,31.14339,0.58386
TELANGANA,2012-09,1541.02490,21.93550,29.93755,0.78205
HARYANA,2010-08,4519.86790,26.37969,33.80933,0.75767
PUNJAB,2001-11,562.95730,12.10248,30.21179,0.31340
GUJARAT,2000-06,3030.55553,27.96002,37.34928,0.58994
TRIPURA,2009-01,1.11809,12.37192,27.69075,0.64979
BIHAR,2009-05,6569.81805,27.02553,39.93438,0.44840
NAGALAND,2010-07,2784.15272,18.91437,24.03943,0.93981
LAKSHADWEEP,2007-06,832.43643,27.96417,29.13647,0.79243
DAMAN AND DIU,2006-06,561.17647,29.00015,30.10310,0.78566
PUDUCHERRY,2009-12,279.59951,22.24944,28.34782,0.82977
ORISSA,2008-03,1741.13635,20.15125,36.59651,0.47951
HIMACHAL PRADESH,2007-04,605.44433,16.56487,30.91667,0.33971
ARUNACHAL PRADESH,2001-04,2639.32654,13.14953,24.68864,0.67439
UTTAR PRADESH,2013-05,2902.08998,26.89736,44.32967,0.20284
ANDAMAN AND NICOBAR ISLANDS,2013-01,225.69497,26.33461,27.09300,0.73449
HIMACHAL PRADESH,2006-09,2349.34638,16.90818,27.58809,0.64839
ANDHRA PRADESH,2001-02,2.25998,16.78765,36.10338,0.51233
ANDHRA PRADESH,2002-12,73.08562,15.74762,30.67218,0.64718
ANDHRA PRADESH,2006-11,2521.64374,20.38898,28.96629,0.80103
WEST BENGAL,2010-10,3322.74144,22.66178,31.03344,0.78500
DADRA AND NAGAR HAVELI,2011-04,109.67159,26.69017,29.29040,0.66647
ARUNACHAL PRADESH,2004-03,810.84637,12.70671,24.55187,0.58213
UTTARAKHAND,2003-09,3369.29620,19.98272,28.21960,0.77338
ANDHRA PRADESH,2004-11,755.73336,18.41632,30.10162,0.69867
TELANGANA,2001-07,453.59255,25.07496,34.45940,0.54584
TELANGANA,2002-09,1398.57354,22.27411,32.99899,0.66123
JAMMU AND KASHMIR,2010-11,529.32215,3.40491,16.99604,0.58307
RAJASTHAN,2005-06,1181.37682,29.22719,42.60074,0.29513
WEST BENGAL,2005-03,488.26566,21.54163,35.94016,0.46780
WEST BENGAL,2006-02,146.26237,16.86831,33.38429,0.44655
NAGALAND,2007-03,85.64616,6.89934,24.13644,0.60389
TAMILNADU,2002-06,4362.95391,25.00039,34.02832,0.65070
ANDHRA PRADESH,2009-07,2167.39437,25.88215,33.58279,0.62645
LADAKH,2006-02,124.67100,-18.82689,-3.77791,0.82971
TELANGANA,2008-09,3286.58001,22.09967,29.62707,0.82897
MIZORAM,2007-03,1.97754,14.74051,33.88551,0.39301
NAGALAND,2006-02,78.61361,5.60639,22.63042,0.69643
KARNATAKA,2012-06,7862.26138,22.19794,29.46601,0.73768
MAHARASHTRA,2010-04,388.16921,25.29477,40.42249,0.30297
PUNJAB,2008-12,569.66948,10.52606,25.04098,0.45675
MANIPUR,2002-07,1707.90880,20.68885,27.13446,0.91779
HARYANA,2000-03,212.30458,11.36022,31.92420,0.27585
MAHARASHTRA,2011-06,12367.26614,25.22999,32.31320,0.68108
MANIPUR,2008-01,117.73654,7.00351,22.03430,0.74146
LAKSHADWEEP,2004-04,141.15888,28.61103,30.01770,0.79011
ORISSA,2002-05,2804.58340,25.61611,43.26706,0.43981
CHANDIGARH,2001-10,0.00000,17.93800,36.86771,0.21828
GUJARAT,2008-05,3723.28408,26.51957,37.95249,0.54089
ORISSA,2012-12,751.58426,11.91680,28.77635,0.59499
CHANDIGARH,2007-05,3.52249,27.14932,42.60903,0.19112
CHANDIGARH,2007-10,0.29182,16.05526,35.82658,0.21298
DAMAN AND DIU,2009-06,559.72943,29.18028,30.05562,0.80272
ARUNACHAL PRADESH,2002-09,5557.63856,18.04549,26.64461,0.81411
MADHAYA PRADESH,2002-12,518.53879,11.84595,29.40315,0.41085
ANDAMAN AND NICOBAR ISLANDS,2004-05,260.54959,28.56855,30.32935,0.75810
ANDHRA PRADESH,2008-04,207.55059,24.11326,39.16984,0.48432
MADHAYA PRADESH,2010-12,712.37365,10.39885,25.58175,0.51145
CHATISGARH,2010-10,2320.72654,20.11574,31.14141,0.70507
KERALA,2006-05,7381.11932,25.90733,30.53035,0.79520
GUJARAT,2008-04,1908.51952,23.58622,37.77998,0.44540
JAMMU AND KASHMIR,2004-12,834.88583,0.76398,13.29884,0.40233
ASSAM,2006-04,1605.82086,18.67346,33.64107,0.57995
ANDAMAN AND NICOBAR ISLANDS,2009-12,485.57142,26.75448,27.53703,0.77683
JHARKHAND,2000-05,1367.47150,26.43474,40.36945,0.42099
WEST BENGAL,2009-10,2879.01760,21.43194,30.64431,0.76513
NAGALAND,2000-07,2187.51176,18.35199,24.87817,0.92740
CHATISGARH,2001-05,170.56520,26.56901,43.84800,0.22793
SIKKIM,2004-06,85.88307,19.63422,29.21928,0.61742
BIHAR,2008-02,521.25429,10.94944,26.62802,0.48691
KERALA,2004-03,872.56609,24.92239,32.78853,0.71769
CHATISGARH,2012-05,65.49421,24.69760,44.68684,0.20726
LADAKH,2005-10,8.80795,-9.19510,2.88031,0.38908
MAHARASHTRA,2005-10,3258.26882,19.97414,29.39834,0.70151
MANIPUR,2013-06,2629.29651,21.13893,28.12111,0.91966
JHARKHAND,2012-09,5013.29578,22.48567,30.15437,0.80823
HARYANA,2012-07,1717.55212,28.74646,39.41875,0.53193
LAKSHADWEEP,2002-05,769.87092,28.43110,29.84774,0.78943
CHATISGARH,2007-07,6537.78330,24.12412,30.49786,0.80705
PUNJAB,2009-02,188.42484,9.29854,25.80560,0.57000
NEW DELHI,2000-12,0.67005,7.89023,24.84552,0.29287
GOA,2011-07,2625.89364,26.28690,27.57942,0.83244
DAMAN AND DIU,2000-08,598.00216,27.37015,28.20152,0.82324
DAMAN AND DIU,2008-05,0.48752,28.52582,29.60239,0.78692
ARUNACHAL PRADESH,2007-08,7150.26153,19.98657,27.02396,0.88249
ANDAMAN AND NICOBAR ISLANDS,2000-05,47.74688,29.38690,30.94894,0.74857
MEGHALAYA,2006-12,46.12841,12.82406,26.14879,0.61677
KARNATAKA,2005-11,2313.13180,17.03634,26.92964,0.73074
ANDAMAN AND NICOBAR ISLANDS,2005-10,245.94981,27.92658,29.16123,0.77029
RAJASTHAN,2008-04,561.34641,22.25621,39.61726,0.19866
TELANGANA,2004-07,4352.54643,23.53679,30.75295,0.74060
KARNATAKA,2005-06,7622.16196,22.96147,30.61136,0.73314
KARNATAKA,2004-02,218.52627,17.08228,33.08251,0.43978
MADHAYA PRADESH,2005-07,19179.68545,24.13156,30.07284,0.81323
ASSAM,2003-11,465.64207,12.93292,27.36608,0.79937
ASSAM,2006-02,272.94394,13.27253,30.16997,0.55417
RAJASTHAN,2005-03,88.47488,16.96323,34.22076,0.27123
TRIPURA,2003-06,3664.45534,24.90633,31.05582,0.87672
TRIPURA,2003-11,0.18539,13.98531,27.55204,0.78085
ASSAM,2003-10,5453.08170,19.64995,29.58630,0.84897
ASSAM,2009-06,8854.45699,23.78687,32.80484,0.81720
ASSAM,2012-02,102.78439,10.08484,28.28894,0.53717
MEGHALAYA,2005-10,1310.99096,19.53363,28.43409,0.83238
BIHAR,2010-11,2238.05394,18.37903,29.84134,0.65239
PUNJAB,2011-07,2773.31161,26.96916,36.73694,0.64748
CHATISGARH,2010-11,952.30339,18.15040,29.84705,0.67933
TRIPURA,2010-08,1345.11747,24.80552,30.54749,0.90644
ORISSA,2003-05,1787.52785,24.95892,42.74941,0.45808
ASSAM,2009-05,6341.52201,21.56567,33.99406,0.72269
RAJASTHAN,2011-06,4109.61482,28.48164,41.15956,0.41207
JHARKHAND,2005-05,1209.58845,24.67458,41.41752,0.34021
CHATISGARH,2011-06,5349.02595,25.47067,35.22905,0.62289
JHARKHAND,2011-06,7566.17507,25.83414,34.93433,0.66034
NAGALAND,2005-04,394.57436,11.33675,26.21844,0.62877
HARYANA,2007-11,504.78518,13.18374,30.67204,0.36439
SIKKIM,2013-02,132.86159,9.48863,20.00314,0.19884
MANIPUR,2011-06,1379.00642,20.28949,29.16207,0.88900
NEW DELHI,2011-07,469.34338,26.21326,32.81619,0.79197
MANIPUR,2003-08,1463.80245,20.60444,28.73008,0.90057
HIMACHAL PRADESH,2004-02,278.83996,6.04376,20.06660,0.42145
UTTAR PRADESH,2001-03,215.94187,14.57036,34.99507,0.22493
ARUNACHAL PRADESH,2001-10,3384.16606,14.83905,24.67046,0.78326
ANDHRA PRADESH,2001-03,79.10981,21.36342,37.56941,0.50651
UTTARAKHAND,2006-06,1890.19452,23.52965,35.62835,0.41037
MAHARASHTRA,2006-05,2219.05209,27.01715,39.31297,0.40091
DADRA AND NAGAR HAVELI,2004-01,11.40776,22.67961,28.13274,0.59857
ANDAMAN AND NICOBAR ISLANDS,2013-03,111.64096,27.38461,28.37813,0.75342
TELANGANA,2006-04,114.37522,25.50560,40.57421,0.30355
MADHAYA PRADESH,2003-11,368.49465,14.68935,31.07895,0.45807
KARNATAKA,2009-08,6929.91988,21.48972,27.48243,0.83017
RAJASTHAN,2002-03,57.97233,16.27097,35.09111,0.19500
WEST BENGAL,2009-03,277.99317,20.34031,36.55804,0.40467
BIHAR,2008-07,20332.50400,26.25277,32.23947,0.82850
ORISSA,2006-04,945.06803,23.84684,40.06098,0.46615
JAMMU AND KASHMIR,2000-09,546.73259,12.36310,28.02251,0.40449
UTTARAKHAND,2010-05,2110.09559,22.64710,37.46733,0.31719
PUNJAB,2006-12,468.72204,9.12657,22.28358,0.53177
GUJARAT,2009-03,248.92154,21.42545,36.01507,0.41434
NAGALAND,2013-06,3647.82993,19.09129,25.52600,0.91808
WEST BENGAL,2010-09,6486.68086,25.10621,31.09686,0.85052
ASSAM,2007-05,4968.14355,22.37693,34.45267,0.72344
SIKKIM,2009-08,351.67964,21.04057,26.86175,0.79720
MEGHALAYA,2003-04,539.84407,19.83502,32.58000,0.64517
BIHAR,2010-03,317.35187,19.24058,37.41115,0.34318
ANDHRA PRADESH,2007-02,104.01157,17.23264,32.83606,0.57634
JAMMU AND KASHMIR,2008-06,863.78148,16.79063,31.00745,0.45436
TELANGANA,2010-05,139.25852,28.84924,42.99283,0.29606
NAGALAND,2004-01,117.59150,2.74685,17.38233,0.78265
JHARKHAND,2000-06,2968.59125,26.18798,35.54834,0.61816
JHARKHAND,2007-11,447.95727,16.07781,28.38487,0.65556
ASSAM,2009-01,179.28302,10.07971,24.50590,0.78711
ASSAM,2007-02,1598.53562,12.12543,25.54625,0.68026
MIZORAM,2002-11,250.74491,15.91755,28.42692,0.80811
GUJARAT,2007-11,1073.66114,20.88941,32.84682,0.45549
TELANGANA,2002-08,2464.08751,22.80369,29.01057,0.78797
TELANGANA,2009-12,125.68532,15.30548,28.75904,0.57266
GOA,2008-10,178.74931,24.69913,31.49319,0.73498
DAMAN AND DIU,2011-01,0.00687,22.51134,25.47435,0.55447
NEW DELHI,2012-12,1.14784,9.02532,22.77713,0.44048
ARUNACHAL PRADESH,2006-04,1298.01994,13.51089,25.16536,0.61307
HIMACHAL PRADESH,2012-10,944.13611,13.52085,26.28537,0.49625
ANDAMAN AND NICOBAR ISLANDS,2000-10,120.46436,27.67168,29.30942,0.72651
JAMMU AND KASHMIR,2003-09,1283.64473,12.91343,26.31107,0.56623
TRIPURA,2007-04,764.80181,22.67098,36.54353,0.62639
JHARKHAND,2012-03,130.05106,16.76158,34.51121,0.30671
GUJARAT,2006-04,620.22944,23.28274,37.21665,0.47491
TELANGANA,2002-07,1148.40822,24.97402,34.01633,0.58606
HARYANA,2008-04,1613.82961,21.36917,37.99885,0.30334
JAMMU AND KASHMIR,2012-05,870.50373,10.76423,25.61639,0.46796
UTTARAKHAND,2004-05,1409.80902,22.04026,36.52646,0.27905
ARUNACHAL PRADESH,2011-10,927.39632,14.36583,25.47413,0.70225
PUNJAB,2001-03,85.78091,11.31665,33.04553,0.30373
TELANGANA,2008-12,40.98774,14.91552,30.49257,0.53753
GUJARAT,2011-04,1169.84096,23.92131,37.42479,0.43883
ORISSA,2011-02,647.70081,14.16563,31.72733,0.55443
LADAKH,2004-01,75.83872,-21.81681,-8.06639,0.72634
LADAKH,2012-09,129.62492,0.79777,8.78473,0.66664
LAKSHADWEEP,2004-11,170.26033,26.70843,28.69783,0.74226
SIKKIM,2013-08,847.71372,18.75344,24.61623,0.76309
UTTARAKHAND,2012-11,549.41090,10.48154,24.73188,0.41696
MIZORAM,2010-01,0.02747,9.76791,27.11953,0.63575
NAGALAND,2002-05,2607.11582,15.06540,22.96252,0.92673
ORISSA,2012-02,153.42113,13.99530,33.26346,0.47777
NAGALAND,2001-01,23.87252,1.09222,18.65214,0.74520
TAMILNADU,2007-07,8582.24457,24.57377,32.27659,0.70305
KERALA,2011-10,5315.57397,25.58342,28.65387,0.78757
LAKSHADWEEP,2013-09,217.91038,26.79980,27.50443,0.81180
DAMAN AND DIU,2008-04,0.27466,26.88758,29.17210,0.69123
HARYANA,2011-10,870.07060,18.05298,32.31034,0.50967
GOA,2013-08,1448.63147,25.72674,27.16555,0.84181
ARUNACHAL PRADESH,2008-01,1420.35292,6.97554,17.31700,0.69356
UTTAR PRADESH,2002-06,5994.55126,29.93161,43.28270,0.33232
ANDHRA PRADESH,2001-05,90.34785,28.34734,42.07686,0.39905
TRIPURA,2005-01,8.32787,10.62584,26.55076,0.59748
DADRA AND NAGAR HAVELI,2010-11,257.06921,26.32387,28.69667,0.77177
UTTAR PRADESH,2004-08,14340.58943,26.11907,34.55734,0.70791
UTTARAKHAND,2004-02,107.53557,9.64027,23.91022,0.41571
ASSAM,2003-01,299.69790,7.28708,24.60634,0.69306
BIHAR,2002-10,3794.84277,20.30464,32.52299,0.64337
TRIPURA,2008-10,820.34512,21.02973,29.48095,0.87669
TRIPURA,2010-12,103.65802,13.01812,25.16067,0.77829
GUJARAT,2011-07,15348.35985,26.12742,29.74453,0.82846
CHATISGARH,2001-10,2336.41060,19.87811,32.35596,0.65985
TAMILNADU,2008-11,8401.02156,21.49227,29.96112,0.74780
KERALA,2011-07,13090.95508,25.18534,27.22512,0.84402
KERALA,2011-11,3351.97869,25.29336,29.15780,0.73274
WEST BENGAL,2002-05,4045.34034,26.71075,39.21462,0.58840
BIHAR,2013-01,393.92612,7.91896,24.61580,0.41314
PUDUCHERRY,2008-02,63.32417,21.58028,33.13459,0.68530
PUDUCHERRY,2011-12,117.04388,20.09629,28.73916,0.77198
ASSAM,2010-11,1093.13367,15.60454,27.80483,0.80611
TAMILNADU,2006-08,4558.49925,24.07422,33.70275,0.64938
MIZORAM,2012-02,43.32076,7.96009,31.30574,0.58424
BIHAR,2010-09,10950.60951,24.94776,32.33533,0.80907
ANDHRA PRADESH,2009-12,417.04023,17.84714,28.51151,0.71170
PUNJAB,2010-05,2045.21646,26.66623,43.65205,0.25385
ORISSA,2000-06,8745.86660,25.92025,34.65317,0.67382
KERALA,2007-07,13526.80163,25.20938,27.46562,0.86531
MADHAYA PRADESH,2006-06,2510.06547,27.92319,38.89319,0.39464
UTTAR PRADESH,2011-09,22830.43279,24.16497,30.82452,0.84468
MEGHALAYA,2007-04,813.75525,19.39317,31.69977,0.65532
WEST BENGAL,2001-07,7479.08911,26.04815,31.64356,0.83069
ARUNACHAL PRADESH,2011-08,4686.93197,19.14902,27.35430,0.81824
ANDHRA PRADESH,2013-06,2085.07690,25.15145,34.01734,0.60620
WEST BENGAL,2002-06,5999.68468,27.15337,36.32197,0.70092
MEGHALAYA,2009-08,3437.07926,23.20890,27.98548,0.91813
MAHARASHTRA,2012-10,5060.26646,19.71725,30.27560,0.66655
UTTARAKHAND,2010-11,991.80367,12.74908,25.12850,0.56301
NAGALAND,2002-09,2178.68660,16.22447,24.68199,0.90249
NAGALAND,2003-07,2985.03707,19.06578,24.81235,0.92911
NAGALAND,2013-11,22.14003,6.18830,23.25542,0.78530
WEST BENGAL,2000-02,556.69913,14.80520,27.78055,0.52806
MADHAYA PRADESH,2012-07,28521.29701,24.36007,29.90941,0.82083
JAMMU AND KASHMIR,2002-02,1535.29091,-1.32584,10.41261,0.64370
KERALA,2009-10,3894.74910,24.74538,29.18086,0.80931
SIKKIM,2013-04,21.94261,14.66036,26.40567,0.23618
HARYANA,2013-12,424.11707,9.33135,23.34221,0.52975
BIHAR,2003-04,1598.04194,24.14929,41.33788,0.28477
NAGALAND,2005-05,875.12329,12.70493,24.73958,0.78567
LAKSHADWEEP,2010-09,645.07033,26.81880,27.87137,0.82010
ORISSA,2004-04,981.95438,24.08589,40.53814,0.47727
NAGALAND,2013-02,472.93743,7.15672,21.78529,0.79958
MANIPUR,2003-10,600.35563,16.62248,27.58562,0.87125
MANIPUR,2006-09,985.39416,19.15581,28.53586,0.86615
MANIPUR,2000-08,1823.11597,20.54885,27.50518,0.91617
GOA,2005-12,8.79592,22.49835,31.52452,0.55415
GOA,2007-03,0.54588,23.91231,31.75221,0.63779
DAMAN AND DIU,2002-01,0.17166,22.31639,25.65274,0.53716
GOA,2002-03,0.00000,24.23566,32.33776,0.63487
GOA,2003-12,0.00000,22.74123,31.95644,0.51978
HIMACHAL PRADESH,2013-06,3660.08972,22.37985,32.84759,0.61245
HIMACHAL PRADESH,2010-02,1100.72196,5.18185,18.19905,0.61430
MADHAYA PRADESH,2008-04,555.78152,21.60500,40.65602,0.19445
JAMMU AND KASHMIR,2006-03,1814.69513,2.64577,15.70378,0.58869
UTTARAKHAND,2001-07,2646.90851,23.28188,32.50171,0.68656
LADAKH,2005-01,56.87656,-26.65553,-9.83384,0.73706
JAMMU AND KASHMIR,2007-12,835.93829,-1.15954,10.56501,0.48435
KERALA,2006-03,1573.93066,24.90954,31.92204,0.71813
JAMMU AND KASHMIR,2007-09,696.14429,13.24582,27.33677,0.47918
MADHAYA PRADESH,2004-01,316.45518,10.53970,26.11663,0.49348
LADAKH,2001-05,40.87987,-9.21563,5.23508,0.68582
LADAKH,2002-03,118.96005,-19.37189,-3.22013,0.79751
NAGALAND,2013-08,3492.13083,18.71859,25.22372,0.93693
RAJASTHAN,2010-08,8648.95919,25.67796,33.26467,0.74514
TAMILNADU,2011-08,6031.44860,23.35193,31.19062,0.71621
TAMILNADU,2004-03,1300.77266,20.89731,36.70254,0.57438
BIHAR,2013-08,5571.72379,25.57090,33.70318,0.71785
PUDUCHERRY,2007-12,308.14976,21.52345,29.52631,0.78106
JAMMU AND KASHMIR,2009-12,487.28768,-0.73000,10.39648,0.66468
GUJARAT,2009-10,1091.76157,22.77448,34.52122,0.51772
MIZORAM,2010-02,5.14412,11.58192,29.86011,0.50783
JHARKHAND,2003-12,785.22127,11.11218,24.18425,0.60533
PUNJAB,2010-04,652.03954,21.65519,41.06749,0.25565
DAMAN AND DIU,2001-06,884.64756,28.74188,29.68450,0.79383
SIKKIM,2000-08,302.73814,20.36938,27.70658,0.75333
DAMAN AND DIU,2000-06,300.24952,28.70463,29.69557,0.80392
GOA,2011-06,1973.35578,27.07342,28.57582,0.81731
HIMACHAL PRADESH,2000-05,1068.41295,19.85181,34.96271,0.34371
DADRA AND NAGAR HAVELI,2002-10,239.42872,27.02619,30.64926,0.64218
HIMACHAL PRADESH,2004-03,132.14049,11.87122,27.51164,0.28154
DADRA AND NAGAR HAVELI,2011-07,949.09801,27.18194,27.72026,0.85542
TRIPURA,2013-07,1811.26098,25.20473,30.13432,0.89591
WEST BENGAL,2011-02,320.73686,15.72293,29.80536,0.50072
HARYANA,2012-01,96.34924,5.22548,19.76991,0.62093
MADHAYA PRADESH,2011-03,100.65024,16.08372,36.23107,0.24029
LAKSHADWEEP,2001-04,207.25790,27.93950,29.44307,0.79571
LAKSHADWEEP,2005-01,58.01926,26.30587,27.81700,0.74877
GUJARAT,2006-07,9904.12794,26.58270,31.29387,0.77365
PUNJAB,2002-10,1255.16490,17.61372,36.21482,0.33418
BIHAR,2008-10,4046.21251,21.11637,32.31190,0.70914
KERALA,2005-03,813.22345,25.12850,32.19472,0.71295
MADHAYA PRADESH,2002-02,1039.63786,13.12516,29.97807,0.35257
PUDUCHERRY,2000-01,118.53047,20.52131,29.74855,0.75396
UTTARAKHAND,2009-09,3743.45906,19.81878,28.68986,0.76760
MANIPUR,2006-12,31.64921,9.16687,23.76165,0.72582
PUDUCHERRY,2001-12,214.82259,21.44848,28.86060,0.77196
PUNJAB,2007-08,1375.76437,27.19622,38.52637,0.56765
CHATISGARH,2011-11,74.74789,12.66070,31.13854,0.52964
TELANGANA,2001-11,250.47445,17.50791,31.17566,0.55978
MEGHALAYA,2012-11,237.51235,16.08650,27.61223,0.75432
LAKSHADWEEP,2003-10,513.53137,27.21748,28.54781,0.78906
HARYANA,2004-01,465.42152,7.85691,21.37755,0.60923
ORISSA,2010-07,15169.34159,25.04959,31.35641,0.81177
HARYANA,2008-05,2580.25521,26.86554,41.18832,0.31246
DAMAN AND DIU,2000-03,0.00000,24.47373,27.05939,0.63607
GOA,2008-09,901.17935,24.27263,27.94877,0.84819
CHANDIGARH,2006-01,5.18761,6.36555,23.55119,0.36193
CHANDIGARH,2013-03,7.95994,11.91074,28.19165,0.63772
ARUNACHAL PRADESH,2002-06,7858.55421,19.00170,26.43228,0.85842
KARNATAKA,2005-08,8419.45233,21.01776,25.97957,0.86935
TAMILNADU,2013-05,2355.38428,25.52284,37.74423,0.55418
ANDHRA PRADESH,2000-05,1203.29282,27.27670,40.01520,0.48786
ANDHRA PRADESH,2011-05,481.54637,26.64853,40.50306,0.44589
MADHAYA PRADESH,2010-06,2999.60241,28.39126,40.95479,0.38061
TELANGANA,2012-08,2249.34731,22.18291,28.87535,0.79744
JAMMU AND KASHMIR,2007-10,255.13803,6.79188,23.31608,0.27074
ANDHRA PRADESH,2007-05,875.30503,28.24104,41.23440,0.46705
TRIPURA,2011-09,1073.07157,24.48588,30.81877,0.88218
