Month,District_State,MaxTemperature
2006-07,"SIRSA, HARYANA",47.87500
2006-07,"HANUMANGARH, RAJASTHAN",47.87500
2006-07,"KAPURTHALA, PUNJAB",47.86950
2006-07,"FEROZEPORE, PUNJAB",47.51800
2006-07,"MUZAFFARNAGAR, UTTAR PRADESH",47.50700
2006-07,"FARIDKOT, PUNJAB",47.49400
2006-07,"BHATINDA, PUNJAB",47.42700
2010-11,"JHABUA, MADHAYA PRADESH",36.08200
2010-11,"BARMER, RAJASTHAN",35.92000
2010-11,"BANASKANTHA, GUJARAT",35.72350
2010-11,"KUTCH, GUJARAT",35.56400
2010-11,"VARANASI, UTTAR PRADESH",35.56000
2010-11,"PATAN, GUJARAT",35.47600
2010-11,"DOHAD, GUJARAT",35.40400
2010-11,"RAJKOT, GUJARAT",35.39800
2010-11,"AMRELI, GUJARAT",35.39400
2010-11,"KAIRA/KHEDA, GUJARAT",35.39300
2003-02,"DANTEWARA, CHATISGARH",41.10550
2003-02,"KHAMMAM, TELANGANA",40.68350
2003-02,"JHARSUGUDA, ORISSA",40.61000
2003-02,"SAMBALPUR, ORISSA",40.56700
2003-02,"HAVERI, KARNATAKA",40.35800
2003-02,"CHANDRAPUR, MAHARASHTRA",39.87250
2003-02,"MALKANGIRI, ORISSA",39.85900
2003-02,"SUNDARGARH, ORISSA",39.80100
2003-02,"SONEPUR, ORISSA",39.70000
2003-02,"BARGARH, ORISSA",39.62400
2013-06,"SIDHI, MADHAYA PRADESH",52.13300
2013-06,"BANDA, UTTAR PRADESH",51.88650
2013-06,"REWA, MADHAYA PRADESH",51.79800
2013-06,"FEROZEPORE, PUNJAB",51.60600
2013-06,"FARIDKOT, PUNJAB",51.60600
2013-06,"FATEHPUR, UTTAR PRADESH",51.24100
2013-06,"SHAHUJI M NAGAR, UTTAR PRADESH",51.23000
2013-06,"JANJGIR, CHATISGARH",51.02600
2013-06,"BHATINDA, PUNJAB",50.99700
2013-06,"UNNAO, UTTAR PRADESH",50.82400
2001-06,"GANGANAGAR, RAJASTHAN",50.76800
2001-06,"AMRITSAR, PUNJAB",50.09600
2001-06,"S.RAVIDAS NAGAR, UTTAR PRADESH",48.93300
2001-06,"KORBA, CHATISGARH",48.86150
2001-06,"BHATINDA, PUNJAB",48.54800
2001-06,"FARIDKOT, PUNJAB",48.44600
2001-06,"FEROZEPORE, PUNJAB",48.34800
2001-06,"JAMMU, JAMMU AND KASHMIR",48.29650
2001-06,"PRATAPGARH, UTTAR PRADESH",48.01300
2001-06,"HAMIRPUR, UTTAR PRADESH",47.97700
2005-12,"NORTH GOA, GOA",37.13700
2005-12,"DANGS, GUJARAT",34.64700
2005-12,"SIVAGANGA, TAMILNADU",34.41500
2005-12,"SURAT, GUJARAT",34.26600
2005-12,"SHIMOGA, KARNATAKA",33.36300
2005-12,"RAMANATHAPURA, TAMILNADU",33.29000
2005-12,"PALAKKAD, KERALA",33.21900
2005-12,"KODAGU, KARNATAKA",33.21750
