Month,District_State,TotalPrecipitation
2004-05,"KASARGOD, KERALA",738.14854
2004-05,"MALAPPURAM, KERALA",730.75154
2004-05,"ERNAKULAM, KERALA",710.86953
2004-05,"NILGIRIS, TAMILNADU",658.13385
2004-05,"WAYANAD, KERALA",655.81594
2006-07,"RATNAGIRI, MAHARASHTRA",1484.05934
2006-07,"MUMBAI CITY, MAHARASHTRA",1384.37757
2006-07,"THANA, MAHARASHTRA",1349.91210
2006-07,"SINDHUDURG, MAHARASHTRA",1345.00435
2006-07,"SOUTH GOA, GOA",1332.27294
2006-07,"DAMAN, DAMAN AND DIU",1320.30815
2006-07,"KOLABA/RAIGARH, MAHARASHTRA",1304.78739
2006-07,"NORTH GOA, GOA",1206.08769
2006-07,"KANARA NORTH, KARNATAKA",1123.76241
2006-07,"KOLHAPUR, MAHARASHTRA",1034.65162
2010-11,"DINDIGUL, TAMILNADU",573.80861
2010-11,"THENI, TAMILNADU",562.36741
2010-11,"KARUR, TAMILNADU",547.67414
2010-11,"CHENNAI, TAMILNADU",519.27731
2010-11,"VILLUPURAM, TAMILNADU",508.34901
2010-11,"CUDDALORE, TAMILNADU",484.71047
2010-11,"KANCHEEPURAM, TAMILNADU",484.18366
2010-11,"NILGIRIS, TAMILNADU",472.79365
2010-11,"SALEM, TAMILNADU",472.24728
2010-11,"WAYANAD, KERALA",463.87543
2003-02,"PULWAMA, JAMMU AND KASHMIR",698.36833
2003-02,"BADGAM, JAMMU AND KASHMIR",616.90802
2003-02,"ANANTNAG, JAMMU AND KASHMIR",509.00918
2003-02,"BARAMULLA, JAMMU AND KASHMIR",504.02865
2003-02,"DODA, JAMMU AND KASHMIR",481.76189
2003-02,"KUPWARA, JAMMU AND KASHMIR",344.89692
2003-02,"SRINAGAR, JAMMU AND KASHMIR",329.92398
2003-02,"CHAMBA, HIMACHAL PRADESH",261.62050
2003-02,"UDHAMPUR, JAMMU AND KASHMIR",260.81201
2003-02,"LAHUL AND SPITI, HIMACHAL PRADESH",256.99426
2013-06,"GOLAGHAT, ASSAM",2401.83919
2013-06,"WEST KAMENG, ARUNACHAL PRADESH",2232.75336
2013-06,"KARIMGANJ, ASSAM",2126.78239
2013-06,"KARBI ANGLONG, ASSAM",1847.21086
2013-06,"ERNAKULAM, KERALA",1812.88102
2013-06,"LAKHIMPUR, ASSAM",1748.17694
2013-06,"HAILAKANDI, ASSAM",1716.70091
2013-06,"GOALPARA, ASSAM",1604.29652
2013-06,"PAPAMPARE, ARUNACHAL PRADESH",1564.20680
2013-06,"N.C.HILLS, ASSAM",1543.15663
2001-06,"MON, NAGALAND",1350.77845
2001-06,"THRISSUR, KERALA",1220.45709
2001-06,"SOUTH GOA, GOA",1189.05548
2001-06,"LAKHIMPUR, ASSAM",1180.14032
