Month,District_State,MinTemperature
2010-03,"SRINAGAR, JAMMU AND KASHMIR",-0.31500
2010-03,"ANANTNAG, JAMMU AND KASHMIR",0.89200
2000-07,"KARGIL, JAMMU AND KASHMIR",-4.09000
2000-07,"LADAKH, LADAKH",-1.45800
2000-07,"KINNAUR, HIMACHAL PRADESH",1.32050
2000-07,"KULU, HIMACHAL PRADESH",5.07900
2000-07,"LAHUL AND SPITI, HIMACHAL PRADESH",8.39150
2000-07,"BARAMULLA, JAMMU AND KASHMIR",9.08200
2000-07,"PULWAMA, JAMMU AND KASHMIR",10.42200
2000-07,"TAWANG, ARUNACHAL PRADESH",10.72000
2000-07,"KUPWARA, JAMMU AND KASHMIR",11.21900
2000-07,"BADGAM, JAMMU AND KASHMIR",11.88700
2001-10,"KARGIL, JAMMU AND KASHMIR",-19.97000
2001-10,"LADAKH, LADAKH",-15.23700
2001-10,"LAHUL AND SPITI, HIMACHAL PRADESH",-1.14750
2001-10,"KINNAUR, HIMACHAL PRADESH",-0.70000
2001-10,"BARAMULLA, JAMMU AND KASHMIR",1.80100
2001-10,"KUPWARA, JAMMU AND KASHMIR",2.91200
2001-10,"PULWAMA, JAMMU AND KASHMIR",3.31100
2001-10,"ANANTNAG, JAMMU AND KASHMIR",4.57700
2001-10,"KULU, HIMACHAL PRADESH",4.62000
2001-10,"BADGAM, JAMMU AND KASHMIR",4.94900
2004-11,"KARGIL, JAMMU AND KASHMIR",-25.43600
2004-11,"LADAKH, LADAKH",-18.47600
2004-11,"LAHUL AND SPITI, HIMACHAL PRADESH",-7.62400
2004-11,"KINNAUR, HIMACHAL PRADESH",-5.14650
2004-11,"BARAMULLA, JAMMU AND KASHMIR",-2.13800
2004-11,"KULU, HIMACHAL PRADESH",-0.69700
2004-11,"PULWAMA, JAMMU AND KASHMIR",-0.65100
2004-11,"KUPWARA, JAMMU AND KASHMIR",-0.20000
2004-11,"ANANTNAG, JAMMU AND KASHMIR",0.06400
2004-11,"SRINAGAR, JAMMU AND KASHMIR",0.48200
2007-07,"LADAKH, LADAKH",-1.60100
2007-07,"KARGIL, JAMMU AND KASHMIR",-0.22300
2007-07,"KINNAUR, HIMACHAL PRADESH",6.39400
2007-07,"LAHUL AND SPITI, HIMACHAL PRADESH",7.20600
2007-07,"PULWAMA, JAMMU AND KASHMIR",10.10000
2007-07,"KULU, HIMACHAL PRADESH",10.20300
2007-07,"BARAMULLA, JAMMU AND KASHMIR",10.32400
2007-07,"KUPWARA, JAMMU AND KASHMIR",10.67200
2007-07,"BADGAM, JAMMU AND KASHMIR",11.52900
2007-07,"SRINAGAR, JAMMU AND KASHMIR",11.52900
2012-04,"KARGIL, JAMMU AND KASHMIR",-22.93200
2012-04,"LADAKH, LADAKH",-17.00100
2012-04,"PULWAMA, JAMMU AND KASHMIR",-2.31900
2012-04,"BARAMULLA, JAMMU AND KASHMIR",-1.99300
2012-04,"KUPWARA, JAMMU AND KASHMIR",-1.69100
2012-04,"KINNAUR, HIMACHAL PRADESH",0.06900
2012-04,"ANANTNAG, JAMMU AND KASHMIR",1.59600
2012-04,"LAHUL AND SPITI, HIMACHAL PRADESH",1.66200
2012-04,"SRINAGAR, JAMMU AND KASHMIR",4.75600
2012-04,"BADGAM, JAMMU AND KASHMIR",4.75600
2003-12,"KARGIL, JAMMU AND KASHMIR",-33.92900
2003-12,"LADAKH, LADAKH",-31.02000
2003-12,"KINNAUR, HIMACHAL PRADESH",-12.89200
2003-12,"LAHUL AND SPITI, HIMACHAL PRADESH",-12.41550
2003-12,"BARAMULLA, JAMMU AND KASHMIR",-10.07700
2003-12,"PULWAMA, JAMMU AND KASHMIR",-9.20900
2003-12,"KUPWARA, JAMMU AND KASHMIR",-8.20600
2003-12,"BADGAM, JAMMU AND KASHMIR",-7.18400
2003-12,"SRINAGAR, JAMMU AND KASHMIR",-7.18400
2003-12,"KULU, HIMACHAL PRADESH",-5.29400
2010-01,"LADAKH, LADAKH",-24.64800
2010-01,"KARGIL, JAMMU AND KASHMIR",-24.60600
2010-01,"KINNAUR, HIMACHAL PRADESH",-8.08200
2010-01,"LAHUL AND SPITI, HIMACHAL PRADESH",-7.79850
2010-01,"BARAMULLA, JAMMU AND KASHMIR",-7.27700
2010-01,"KUPWARA, JAMMU AND KASHMIR",-6.23400
2010-01,"PULWAMA, JAMMU AND KASHMIR",-5.29500
2010-01,"ANANTNAG, JAMMU AND KASHMIR",-4.74000
2010-01,"BADGAM, JAMMU AND KASHMIR",-4.51000
2010-01,"SRINAGAR, JAMMU AND KASHMIR",-4.51000
2010-09,"LADAKH, LADAKH",-6.96400
2010-09,"KARGIL, JAMMU AND KASHMIR",-6.58100
2010-09,"LAHUL AND SPITI, HIMACHAL PRADESH",3.85350
2010-09,"BARAMULLA, JAMMU AND KASHMIR",3.87200
2010-09,"KINNAUR, HIMACHAL PRADESH",4.07600
2010-09,"PULWAMA, JAMMU AND KASHMIR",4.83500
2010-09,"KULU, HIMACHAL PRADESH",6.06900
2010-09,"KUPWARA, JAMMU AND KASHMIR",6.21500
2010-09,"SRINAGAR, JAMMU AND KASHMIR",6.32900
2010-09,"BADGAM, JAMMU AND KASHMIR",6.32900
2012-05,"KARGIL, JAMMU AND KASHMIR",-16.74700
2012-05,"LADAKH, LADAKH",-15.13300
2012-05,"BARAMULLA, JAMMU AND KASHMIR",-2.02600
2012-05,"PULWAMA, JAMMU AND KASHMIR",-1.73300
2012-05,"KUPWARA, JAMMU AND KASHMIR",-1.72800
2012-05,"KINNAUR, HIMACHAL PRADESH",1.74350
2012-05,"ANANTNAG, JAMMU AND KASHMIR",1.78500
2012-05,"LAHUL AND SPITI, HIMACHAL PRADESH",2.70750
2012-05,"SRINAGAR, JAMMU AND KASHMIR",4.86500
2012-05,"BADGAM, JAMMU AND KASHMIR",4.86500
2005-10,"KARGIL, JAMMU AND KASHMIR",-15.21100
2005-10,"LADAKH, LADAKH",-14.08900
2005-10,"LAHUL AND SPITI, HIMACHAL PRADESH",-1.54850
2005-10,"KINNAUR, HIMACHAL PRADESH",-0.37650
2005-10,"BARAMULLA, JAMMU AND KASHMIR",0.61700
2005-10,"KULU, HIMACHAL PRADESH",1.69500
2005-10,"PULWAMA, JAMMU AND KASHMIR",1.95700
2005-10,"KUPWARA, JAMMU AND KASHMIR",2.14200
2005-10,"ANANTNAG, JAMMU AND KASHMIR",2.17400
2005-10,"SRINAGAR, JAMMU AND KASHMIR",2.56000
2006-08,"LADAKH, LADAKH",0.43600
2006-08,"KARGIL, JAMMU AND KASHMIR",0.95900
2006-08,"LAHUL AND SPITI, HIMACHAL PRADESH",6.34250
2006-08,"KINNAUR, HIMACHAL PRADESH",6.98550
2006-08,"BARAMULLA, JAMMU AND KASHMIR",8.52100
2006-08,"PULWAMA, JAMMU AND KASHMIR",9.15400
2006-08,"KULU, HIMACHAL PRADESH",10.11900
2006-08,"BADGAM, JAMMU AND KASHMIR",10.40200
2006-08,"SRINAGAR, JAMMU AND KASHMIR",10.40200
2006-08,"KUPWARA, JAMMU AND KASHMIR",10.44900
2008-08,"LADAKH, LADAKH",-1.92900
2008-08,"KARGIL, JAMMU AND KASHMIR",-1.32800
2008-08,"KINNAUR, HIMACHAL PRADESH",6.10050
2008-08,"BARAMULLA, JAMMU AND KASHMIR",7.56800
2008-08,"LAHUL AND SPITI, HIMACHAL PRADESH",7.71800
2008-08,"PULWAMA, JAMMU AND KASHMIR",8.30400
2008-08,"KULU, HIMACHAL PRADESH",8.46800
2008-08,"KUPWARA, JAMMU AND KASHMIR",9.68800
2008-08,"SRINAGAR, JAMMU AND KASHMIR",9.87300
2008-08,"BADGAM, JAMMU AND KASHMIR",9.87300
2009-10,"KARGIL, JAMMU AND KASHMIR",-17.09500
2009-10,"LADAKH, LADAKH",-15.12150
2009-10,"LAHUL AND SPITI, HIMACHAL PRADESH",-5.08700
2009-10,"BARAMULLA, JAMMU AND KASHMIR",-2.89900
2009-10,"ANANTNAG, JAMMU AND KASHMIR",-1.41800
2009-10,"KUPWARA, JAMMU AND KASHMIR",-1.22000
2009-10,"PULWAMA, JAMMU AND KASHMIR",-0.04700
2009-10,"KINNAUR, HIMACHAL PRADESH",0.08700
2009-10,"BADGAM, JAMMU AND KASHMIR",1.72100
2009-10,"SRINAGAR, JAMMU AND KASHMIR",1.72100
2001-04,"LADAKH, LADAKH",-25.72500
2001-04,"KARGIL, JAMMU AND KASHMIR",-23.45700
2001-04,"KINNAUR, HIMACHAL PRADESH",-5.36950
2001-04,"LAHUL AND SPITI, HIMACHAL PRADESH",-4.44600
2001-04,"BARAMULLA, JAMMU AND KASHMIR",-1.91800
2001-04,"PULWAMA, JAMMU AND KASHMIR",-0.84900
2001-04,"KUPWARA, JAMMU AND KASHMIR",0.23800
2001-04,"BADGAM, JAMMU AND KASHMIR",1.03400
2001-04,"SRINAGAR, JAMMU AND KASHMIR",1.03400
2001-04,"KULU, HIMACHAL PRADESH",1.75700
2007-12,"LADAKH, LADAKH",-35.34500
2007-12,"KARGIL, JAMMU AND KASHMIR",-32.73800
2007-12,"LAHUL AND SPITI, HIMACHAL PRADESH",-13.80900
2007-12,"KINNAUR, HIMACHAL PRADESH",-13.65350
2007-12,"BARAMULLA, JAMMU AND KASHMIR",-9.98200
2007-12,"PULWAMA, JAMMU AND KASHMIR",-8.98000
2007-12,"KUPWARA, JAMMU AND KASHMIR",-8.18100
2007-12,"SRINAGAR, JAMMU AND KASHMIR",-6.56400
2007-12,"BADGAM, JAMMU AND KASHMIR",-6.56400
2007-12,"KULU, HIMACHAL PRADESH",-5.68100
2005-11,"KARGIL, JAMMU AND KASHMIR",-23.49100
2005-11,"LADAKH, LADAKH",-20.46050
2005-11,"LAHUL AND SPITI, HIMACHAL PRADESH",-6.84250
2005-11,"KINNAUR, HIMACHAL PRADESH",-4.85750
2005-11,"BARAMULLA, JAMMU AND KASHMIR",-4.01100
2005-11,"KUPWARA, JAMMU AND KASHMIR",-3.26700
2005-11,"KULU, HIMACHAL PRADESH",-2.87000
2005-11,"PULWAMA, JAMMU AND KASHMIR",-2.36000
2005-11,"SRINAGAR, JAMMU AND KASHMIR",-1.33600
2005-11,"BADGAM, JAMMU AND KASHMIR",-1.33600
2010-06,"LADAKH, LADAKH",-11.88850
2010-06,"KARGIL, JAMMU AND KASHMIR",-11.23500
2010-06,"BARAMULLA, JAMMU AND KASHMIR",2.46600
2010-06,"KUPWARA, JAMMU AND KASHMIR",3.34500
2010-06,"LAHUL AND SPITI, HIMACHAL PRADESH",4.09050
2010-06,"PULWAMA, JAMMU AND KASHMIR",4.35200
2010-06,"KINNAUR, HIMACHAL PRADESH",5.62400
2010-06,"BADGAM, JAMMU AND KASHMIR",6.05000
2010-06,"SRINAGAR, JAMMU AND KASHMIR",6.05000
2010-06,"ANANTNAG, JAMMU AND KASHMIR",6.30600
2005-01,"LADAKH, LADAKH",-36.06450
2005-01,"KARGIL, JAMMU AND KASHMIR",-35.91200
2005-01,"LAHUL AND SPITI, HIMACHAL PRADESH",-15.30800
2005-01,"KINNAUR, HIMACHAL PRADESH",-12.62100
2005-01,"BARAMULLA, JAMMU AND KASHMIR",-10.13600
2005-01,"KUPWARA, JAMMU AND KASHMIR",-8.65400
2005-01,"PULWAMA, JAMMU AND KASHMIR",-8.58100
2005-01,"SRINAGAR, JAMMU AND KASHMIR",-7.15800
2005-01,"BADGAM, JAMMU AND KASHMIR",-7.15800
2005-01,"ANANTNAG, JAMMU AND KASHMIR",-5.77800
2002-09,"LADAKH, LADAKH",-7.92950
2002-09,"KARGIL, JAMMU AND KASHMIR",-6.56800
2002-09,"LAHUL AND SPITI, HIMACHAL PRADESH",2.53700
2002-09,"KINNAUR, HIMACHAL PRADESH",3.13250
2002-09,"BARAMULLA, JAMMU AND KASHMIR",5.11200
2002-09,"PULWAMA, JAMMU AND KASHMIR",5.57600
2002-09,"KUPWARA, JAMMU AND KASHMIR",6.57500
2002-09,"KULU, HIMACHAL PRADESH",6.71300
2002-09,"ANANTNAG, JAMMU AND KASHMIR",7.06200
2002-09,"BADGAM, JAMMU AND KASHMIR",7.31400
2004-10,"KARGIL, JAMMU AND KASHMIR",-23.16900
2004-10,"LADAKH, LADAKH",-16.09750
2004-10,"LAHUL AND SPITI, HIMACHAL PRADESH",-6.99050
2004-10,"KINNAUR, HIMACHAL PRADESH",-3.11450
2004-10,"BARAMULLA, JAMMU AND KASHMIR",-1.67400
2004-10,"PULWAMA, JAMMU AND KASHMIR",-0.69200
2004-10,"KUPWARA, JAMMU AND KASHMIR",0.40200
2004-10,"SRINAGAR, JAMMU AND KASHMIR",0.82400
2004-10,"BADGAM, JAMMU AND KASHMIR",0.82400
2004-10,"ANANTNAG, JAMMU AND KASHMIR",1.22100
2008-05,"KARGIL, JAMMU AND KASHMIR",-21.18800
2008-05,"LADAKH, LADAKH",-11.06100
2008-05,"LAHUL AND SPITI, HIMACHAL PRADESH",2.28700
2008-05,"KINNAUR, HIMACHAL PRADESH",2.78200
2008-05,"BARAMULLA, JAMMU AND KASHMIR",4.98100
2008-05,"PULWAMA, JAMMU AND KASHMIR",5.93300
2008-05,"KUPWARA, JAMMU AND KASHMIR",7.17400
2008-05,"SRINAGAR, JAMMU AND KASHMIR",7.23800
2008-05,"BADGAM, JAMMU AND KASHMIR",7.23800
2008-05,"ANANTNAG, JAMMU AND KASHMIR",9.34200
2012-12,"KARGIL, JAMMU AND KASHMIR",-35.50400
2012-12,"LADAKH, LADAKH",-34.43550
2012-12,"KUPWARA, JAMMU AND KASHMIR",-8.59200
2012-12,"BARAMULLA, JAMMU AND KASHMIR",-7.80700
2012-12,"PULWAMA, JAMMU AND KASHMIR",-7.19600
2012-12,"LAHUL AND SPITI, HIMACHAL PRADESH",-4.95450
2012-12,"KINNAUR, HIMACHAL PRADESH",-4.65700
2012-12,"SENAPATI, MANIPUR",-3.78700
2012-12,"ANANTNAG, JAMMU AND KASHMIR",-3.24400
2012-12,"PITHORGARH, UTTARAKHAND",-3.03600
2012-07,"KARGIL, JAMMU AND KASHMIR",-0.42900
2012-07,"LADAKH, LADAKH",-0.20700
2012-07,"PULWAMA, JAMMU AND KASHMIR",7.63100
2012-07,"BARAMULLA, JAMMU AND KASHMIR",8.20000
2012-07,"LAHUL AND SPITI, HIMACHAL PRADESH",9.31350
2012-07,"KUPWARA, JAMMU AND KASHMIR",9.85200
2012-07,"KINNAUR, HIMACHAL PRADESH",9.93500
2012-07,"ANANTNAG, JAMMU AND KASHMIR",12.69800
2012-07,"PITHORGARH, UTTARAKHAND",14.63300
2012-07,"KULU, HIMACHAL PRADESH",14.89700
2000-09,"LADAKH, LADAKH",-9.02650
2000-09,"KARGIL, JAMMU AND KASHMIR",-7.46400
2000-09,"BARAMULLA, JAMMU AND KASHMIR",2.52600
2000-09,"LAHUL AND SPITI, HIMACHAL PRADESH",3.03500
2000-09,"KINNAUR, HIMACHAL PRADESH",3.21550
2000-09,"KUPWARA, JAMMU AND KASHMIR",4.05700
2000-09,"PULWAMA, JAMMU AND KASHMIR",4.12500
2000-09,"KULU, HIMACHAL PRADESH",5.75800
2000-09,"SRINAGAR, JAMMU AND KASHMIR",5.85600
2000-09,"BADGAM, JAMMU AND KASHMIR",5.85600
2002-06,"KARGIL, JAMMU AND KASHMIR",-3.55000
2002-06,"LADAKH, LADAKH",-3.30950
2002-06,"KINNAUR, HIMACHAL PRADESH",6.06550
2002-06,"LAHUL AND SPITI, HIMACHAL PRADESH",6.57100
2002-06,"BARAMULLA, JAMMU AND KASHMIR",8.61100
2002-06,"KUPWARA, JAMMU AND KASHMIR",9.09200
2002-06,"ANANTNAG, JAMMU AND KASHMIR",9.47200
2002-06,"PULWAMA, JAMMU AND KASHMIR",9.73600
2002-06,"KULU, HIMACHAL PRADESH",10.44400
2002-06,"BADGAM, JAMMU AND KASHMIR",10.94700
2011-03,"LADAKH, LADAKH",-36.33350
2011-03,"KARGIL, JAMMU AND KASHMIR",-30.48900
2011-03,"KUPWARA, JAMMU AND KASHMIR",-8.64300
2011-03,"BARAMULLA, JAMMU AND KASHMIR",-7.64600
2011-03,"PULWAMA, JAMMU AND KASHMIR",-6.84200
2011-03,"KINNAUR, HIMACHAL PRADESH",-4.34900
2011-03,"LAHUL AND SPITI, HIMACHAL PRADESH",-3.64200
2011-03,"ANANTNAG, JAMMU AND KASHMIR",-2.63100
2011-03,"SRINAGAR, JAMMU AND KASHMIR",0.22200
2011-03,"BADGAM, JAMMU AND KASHMIR",0.22200
2010-07,"KARGIL, JAMMU AND KASHMIR",-2.99700
2010-07,"LADAKH, LADAKH",-2.62400
2010-07,"LAHUL AND SPITI, HIMACHAL PRADESH",6.93550
2010-07,"KINNAUR, HIMACHAL PRADESH",7.49350
2010-07,"BARAMULLA, JAMMU AND KASHMIR",9.00600
2010-07,"PULWAMA, JAMMU AND KASHMIR",10.13900
2010-07,"KUPWARA, JAMMU AND KASHMIR",10.58100
2010-07,"KULU, HIMACHAL PRADESH",10.70300
2010-07,"SRINAGAR, JAMMU AND KASHMIR",11.75700
2010-07,"BADGAM, JAMMU AND KASHMIR",11.75700
2006-10,"LADAKH, LADAKH",-12.73050
2006-10,"KARGIL, JAMMU AND KASHMIR",-10.55600
2006-10,"KINNAUR, HIMACHAL PRADESH",-0.74800
2006-10,"LAHUL AND SPITI, HIMACHAL PRADESH",0.37900
2006-10,"BARAMULLA, JAMMU AND KASHMIR",1.43700
2006-10,"PULWAMA, JAMMU AND KASHMIR",1.61800
2006-10,"KULU, HIMACHAL PRADESH",2.34100
2006-10,"BADGAM, JAMMU AND KASHMIR",3.15200
2006-10,"SRINAGAR, JAMMU AND KASHMIR",3.15200
2006-10,"KUPWARA, JAMMU AND KASHMIR",3.33800
2005-05,"KARGIL, JAMMU AND KASHMIR",-20.91000
2005-05,"LADAKH, LADAKH",-13.78750
2005-05,"LAHUL AND SPITI, HIMACHAL PRADESH",-2.70800
2005-05,"BARAMULLA, JAMMU AND KASHMIR",0.75700
2005-05,"KINNAUR, HIMACHAL PRADESH",1.68850
2005-05,"PULWAMA, JAMMU AND KASHMIR",1.88500
2005-05,"KUPWARA, JAMMU AND KASHMIR",3.35600
2005-05,"BADGAM, JAMMU AND KASHMIR",4.23800
2005-05,"SRINAGAR, JAMMU AND KASHMIR",4.23800
2005-05,"KULU, HIMACHAL PRADESH",6.70800
2001-03,"KARGIL, JAMMU AND KASHMIR",-31.14300
2001-03,"LADAKH, LADAKH",-30.64150
2001-03,"KINNAUR, HIMACHAL PRADESH",-11.75550
2001-03,"LAHUL AND SPITI, HIMACHAL PRADESH",-10.11200
2001-03,"BARAMULLA, JAMMU AND KASHMIR",-6.55200
2001-03,"PULWAMA, JAMMU AND KASHMIR",-5.39100
2001-03,"KUPWARA, JAMMU AND KASHMIR",-4.79200
2001-03,"ANANTNAG, JAMMU AND KASHMIR",-4.54500
2001-03,"BADGAM, JAMMU AND KASHMIR",-4.30800
2001-03,"SRINAGAR, JAMMU AND KASHMIR",-4.30800
2007-09,"KARGIL, JAMMU AND KASHMIR",-10.45200
2007-09,"LADAKH, LADAKH",-9.45200
2007-09,"LAHUL AND SPITI, HIMACHAL PRADESH",2.50200
2007-09,"KINNAUR, HIMACHAL PRADESH",3.30250
2007-09,"BARAMULLA, JAMMU AND KASHMIR",3.64100
2007-09,"PULWAMA, JAMMU AND KASHMIR",4.15400
2007-09,"KUPWARA, JAMMU AND KASHMIR",5.19800
2007-09,"ANANTNAG, JAMMU AND KASHMIR",5.91700
2007-09,"SRINAGAR, JAMMU AND KASHMIR",6.29200
2007-09,"BADGAM, JAMMU AND KASHMIR",6.29200
2011-01,"KARGIL, JAMMU AND KASHMIR",-34.49500
2011-01,"LADAKH, LADAKH",-33.42650
2011-01,"PULWAMA, JAMMU AND KASHMIR",-17.24000
2011-01,"BARAMULLA, JAMMU AND KASHMIR",-11.49500
2011-01,"KUPWARA, JAMMU AND KASHMIR",-10.58500
2011-01,"ANANTNAG, JAMMU AND KASHMIR",-8.80500
2011-01,"KINNAUR, HIMACHAL PRADESH",-8.30100
2011-01,"LAHUL AND SPITI, HIMACHAL PRADESH",-6.85900
2011-01,"BADGAM, JAMMU AND KASHMIR",-4.60800
2011-01,"SRINAGAR, JAMMU AND KASHMIR",-4.60800
2013-11,"KARGIL, JAMMU AND KASHMIR",-22.32500
2013-11,"LADAKH, LADAKH",-21.59600
2013-11,"BARAMULLA, JAMMU AND KASHMIR",-4.56500
2013-11,"PULWAMA, JAMMU AND KASHMIR",-4.43000
2013-11,"KUPWARA, JAMMU AND KASHMIR",-4.10600
2013-11,"LAHUL AND SPITI, HIMACHAL PRADESH",-2.11450
2013-11,"PITHORGARH, UTTARAKHAND",-1.00400
2013-11,"KINNAUR, HIMACHAL PRADESH",-0.95300
2013-11,"ANANTNAG, JAMMU AND KASHMIR",-0.61800
2013-11,"PHEK, NAGALAND",1.19900
2012-01,"LADAKH, LADAKH",-42.52250
2012-01,"KARGIL, JAMMU AND KASHMIR",-38.42400
2012-01,"BARAMULLA, JAMMU AND KASHMIR",-13.91900
2012-01,"KUPWARA, JAMMU AND KASHMIR",-13.73600
2012-01,"PULWAMA, JAMMU AND KASHMIR",-13.52200
2012-01,"KINNAUR, HIMACHAL PRADESH",-11.34800
2012-01,"LAHUL AND SPITI, HIMACHAL PRADESH",-8.97600
2012-01,"ANANTNAG, JAMMU AND KASHMIR",-8.96900
2012-01,"BADGAM, JAMMU AND KASHMIR",-5.47100
2012-01,"SRINAGAR, JAMMU AND KASHMIR",-5.47100
2003-01,"KARGIL, JAMMU AND KASHMIR",-31.40700
2003-01,"LADAKH, LADAKH",-24.35600
2003-01,"LAHUL AND SPITI, HIMACHAL PRADESH",-11.42900
2003-01,"KINNAUR, HIMACHAL PRADESH",-11.19750
2003-01,"BARAMULLA, JAMMU AND KASHMIR",-7.52600
2003-01,"KULU, HIMACHAL PRADESH",-6.59000
2003-01,"PULWAMA, JAMMU AND KASHMIR",-6.48600
2003-01,"KUPWARA, JAMMU AND KASHMIR",-6.37300
2003-01,"BADGAM, JAMMU AND KASHMIR",-5.63200
2003-01,"SRINAGAR, JAMMU AND KASHMIR",-5.63200
2008-06,"KARGIL, JAMMU AND KASHMIR",-1.92800
2008-06,"LADAKH, LADAKH",-1.52450
2008-06,"KINNAUR, HIMACHAL PRADESH",5.75450
2008-06,"LAHUL AND SPITI, HIMACHAL PRADESH",8.18950
2008-06,"KULU, HIMACHAL PRADESH",9.83200
2008-06,"BARAMULLA, JAMMU AND KASHMIR",10.02300
2008-06,"PULWAMA, JAMMU AND KASHMIR",10.09900
2008-06,"TAWANG, ARUNACHAL PRADESH",11.27000
2008-06,"BADGAM, JAMMU AND KASHMIR",11.95700
2008-06,"SRINAGAR, JAMMU AND KASHMIR",11.95700
2009-08,"LADAKH, LADAKH",-3.23800
2009-08,"KARGIL, JAMMU AND KASHMIR",-2.62800
2009-08,"LAHUL AND SPITI, HIMACHAL PRADESH",5.25300
2009-08,"KINNAUR, HIMACHAL PRADESH",6.45550
2009-08,"BARAMULLA, JAMMU AND KASHMIR",8.30600
2009-08,"PULWAMA, JAMMU AND KASHMIR",8.52300
2009-08,"KULU, HIMACHAL PRADESH",8.89700
2009-08,"BADGAM, JAMMU AND KASHMIR",10.00700
2009-08,"SRINAGAR, JAMMU AND KASHMIR",10.00700
2009-08,"KUPWARA, JAMMU AND KASHMIR",10.39000
2000-12,"KARGIL, JAMMU AND KASHMIR",-31.20700
2000-12,"LADAKH, LADAKH",-25.05400
2000-12,"KINNAUR, HIMACHAL PRADESH",-15.60750
2000-12,"LAHUL AND SPITI, HIMACHAL PRADESH",-12.57650
2000-12,"PULWAMA, JAMMU AND KASHMIR",-10.26300
2000-12,"BARAMULLA, JAMMU AND KASHMIR",-10.14000
2000-12,"KUPWARA, JAMMU AND KASHMIR",-9.61700
2000-12,"BADGAM, JAMMU AND KASHMIR",-6.65900
2000-12,"SRINAGAR, JAMMU AND KASHMIR",-6.65900
2000-12,"KULU, HIMACHAL PRADESH",-6.36500
2008-04,"KARGIL, JAMMU AND KASHMIR",-30.10200
2008-04,"LADAKH, LADAKH",-19.61700
2008-04,"LAHUL AND SPITI, HIMACHAL PRADESH",-4.36100
2008-04,"KINNAUR, HIMACHAL PRADESH",-4.21050
2008-04,"BARAMULLA, JAMMU AND KASHMIR",-0.72200
2008-04,"PULWAMA, JAMMU AND KASHMIR",-0.25700
2008-04,"KUPWARA, JAMMU AND KASHMIR",-0.07800
2008-04,"SRINAGAR, JAMMU AND KASHMIR",1.37800
2008-04,"BADGAM, JAMMU AND KASHMIR",1.37800
2008-04,"KULU, HIMACHAL PRADESH",2.56200
2001-01,"KARGIL, JAMMU AND KASHMIR",-32.37000
2001-01,"LADAKH, LADAKH",-26.00450
2001-01,"KINNAUR, HIMACHAL PRADESH",-15.79750
2001-01,"LAHUL AND SPITI, HIMACHAL PRADESH",-13.54100
2001-01,"PULWAMA, JAMMU AND KASHMIR",-9.30700
2001-01,"BARAMULLA, JAMMU AND KASHMIR",-9.28400
2001-01,"ANANTNAG, JAMMU AND KASHMIR",-8.83800
2001-01,"KULU, HIMACHAL PRADESH",-8.57600
2001-01,"KUPWARA, JAMMU AND KASHMIR",-8.13200
2001-01,"BADGAM, JAMMU AND KASHMIR",-7.51900
2006-02,"LADAKH, LADAKH",-30.62100
2006-02,"KARGIL, JAMMU AND KASHMIR",-28.74500
2006-02,"KINNAUR, HIMACHAL PRADESH",-8.10900
2006-02,"LAHUL AND SPITI, HIMACHAL PRADESH",-7.92100
2006-02,"BARAMULLA, JAMMU AND KASHMIR",-3.64500
2006-02,"PULWAMA, JAMMU AND KASHMIR",-2.73700
2006-02,"KUPWARA, JAMMU AND KASHMIR",-2.45900
2006-02,"SRINAGAR, JAMMU AND KASHMIR",-0.74600
2006-02,"BADGAM, JAMMU AND KASHMIR",-0.74600
2006-02,"PHEK, NAGALAND",-0.40500
2011-11,"KARGIL, JAMMU AND KASHMIR",-26.93700
2011-11,"LADAKH, LADAKH",-21.81400
2011-11,"PULWAMA, JAMMU AND KASHMIR",-3.78700
2011-11,"BARAMULLA, JAMMU AND KASHMIR",-2.87100
2011-11,"KUPWARA, JAMMU AND KASHMIR",-2.65600
2011-11,"PITHORGARH, UTTARAKHAND",-1.41000
2011-11,"LAHUL AND SPITI, HIMACHAL PRADESH",-1.06650
2011-11,"ANANTNAG, JAMMU AND KASHMIR",0.47300
2011-11,"KINNAUR, HIMACHAL PRADESH",0.82800
2011-11,"DIBANG VALLEY, ARUNACHAL PRADESH",0.94450
2012-11,"KARGIL, JAMMU AND KASHMIR",-26.46800
2012-11,"LADAKH, LADAKH",-26.34100
2012-11,"KUPWARA, JAMMU AND KASHMIR",-6.89700
2012-11,"BARAMULLA, JAMMU AND KASHMIR",-6.74600
2012-11,"PULWAMA, JAMMU AND KASHMIR",-6.36500
2012-11,"LAHUL AND SPITI, HIMACHAL PRADESH",-3.60700
2012-11,"KINNAUR, HIMACHAL PRADESH",-2.68500
2012-11,"ANANTNAG, JAMMU AND KASHMIR",-2.43400
2012-11,"PITHORGARH, UTTARAKHAND",-0.17500
2012-11,"BADGAM, JAMMU AND KASHMIR",0.56500
2013-02,"LADAKH, LADAKH",-40.04850
2013-02,"KARGIL, JAMMU AND KASHMIR",-32.13000
2013-02,"BARAMULLA, JAMMU AND KASHMIR",-9.59600
2013-02,"KUPWARA, JAMMU AND KASHMIR",-9.25200
2013-02,"PULWAMA, JAMMU AND KASHMIR",-8.45700
2013-02,"KINNAUR, HIMACHAL PRADESH",-7.35550
2013-02,"LAHUL AND SPITI, HIMACHAL PRADESH",-5.83850
2013-02,"ANANTNAG, JAMMU AND KASHMIR",-3.80300
