Month,District_State,MinTemperature
2010-08,"KINNAUR, HIMACHAL PRADESH",7.23600
2010-08,"PULWAMA, JAMMU AND KASHMIR",7.24000
2010-08,"SRINAGAR, JAMMU AND KASHMIR",8.49800
2010-08,"BADGAM, JAMMU AND KASHMIR",8.49800
2010-08,"KUPWARA, JAMMU AND KASHMIR",9.06900
2010-08,"KULU, HIMACHAL PRADESH",9.61900
2008-02,"LADAKH, LADAKH",-40.12600
2008-02,"KARGIL, JAMMU AND KASHMIR",-33.50100
2008-02,"LAHUL AND SPITI, HIMACHAL PRADESH",-17.66650
2008-02,"KINNAUR, HIMACHAL PRADESH",-15.45500
2008-02,"BARAMULLA, JAMMU AND KASHMIR",-12.31600
2008-02,"PULWAMA, JAMMU AND KASHMIR",-10.96300
2008-02,"KUPWARA, JAMMU AND KASHMIR",-10.59900
2008-02,"SRINAGAR, JAMMU AND KASHMIR",-8.95500
2008-02,"BADGAM, JAMMU AND KASHMIR",-8.95500
2008-02,"ANANTNAG, JAMMU AND KASHMIR",-7.23100
2009-01,"LADAKH, LADAKH",-25.95700
2009-01,"KARGIL, JAMMU AND KASHMIR",-24.92000
2009-01,"LAHUL AND SPITI, HIMACHAL PRADESH",-10.10150
2009-01,"KINNAUR, HIMACHAL PRADESH",-9.76650
2009-01,"BARAMULLA, JAMMU AND KASHMIR",-8.39000
2009-01,"PULWAMA, JAMMU AND KASHMIR",-7.90900
2009-01,"KUPWARA, JAMMU AND KASHMIR",-6.95800
2009-01,"ANANTNAG, JAMMU AND KASHMIR",-6.31700
2009-01,"BADGAM, JAMMU AND KASHMIR",-6.21400
2009-01,"SRINAGAR, JAMMU AND KASHMIR",-6.21400
2005-07,"KARGIL, JAMMU AND KASHMIR",-4.88500
2005-07,"LADAKH, LADAKH",-0.66200
2005-07,"BARAMULLA, JAMMU AND KASHMIR",7.32900
2005-07,"KINNAUR, HIMACHAL PRADESH",7.60900
2005-07,"LAHUL AND SPITI, HIMACHAL PRADESH",8.05600
2005-07,"PULWAMA, JAMMU AND KASHMIR",8.49500
2005-07,"KUPWARA, JAMMU AND KASHMIR",9.58900
2005-07,"SRINAGAR, JAMMU AND KASHMIR",9.85300
2005-07,"BADGAM, JAMMU AND KASHMIR",9.85300
2005-07,"KULU, HIMACHAL PRADESH",10.08100
2005-09,"KARGIL, JAMMU AND KASHMIR",-6.99100
2005-09,"LADAKH, LADAKH",-5.44400
2005-09,"LAHUL AND SPITI, HIMACHAL PRADESH",4.17400
2005-09,"KINNAUR, HIMACHAL PRADESH",4.48550
2005-09,"BARAMULLA, JAMMU AND KASHMIR",5.58400
2005-09,"PULWAMA, JAMMU AND KASHMIR",6.58800
2005-09,"KUPWARA, JAMMU AND KASHMIR",6.95200
2005-09,"KULU, HIMACHAL PRADESH",7.92800
2005-09,"SRINAGAR, JAMMU AND KASHMIR",8.25800
2005-09,"BADGAM, JAMMU AND KASHMIR",8.25800
2000-05,"KARGIL, JAMMU AND KASHMIR",-15.83800
2000-05,"LADAKH, LADAKH",-12.42100
2000-05,"KINNAUR, HIMACHAL PRADESH",-1.68550
2000-05,"BARAMULLA, JAMMU AND KASHMIR",2.28500
2000-05,"LAHUL AND SPITI, HIMACHAL PRADESH",3.41150
2000-05,"KUPWARA, JAMMU AND KASHMIR",3.43000
2000-05,"KULU, HIMACHAL PRADESH",3.62100
2000-05,"PULWAMA, JAMMU AND KASHMIR",4.10800
2000-05,"WEST SIANG, ARUNACHAL PRADESH",5.74700
2000-05,"SRINAGAR, JAMMU AND KASHMIR",6.63700
2001-12,"KARGIL, JAMMU AND KASHMIR",-31.69600
2001-12,"LADAKH, LADAKH",-28.55450
2001-12,"KINNAUR, HIMACHAL PRADESH",-13.93500
2001-12,"LAHUL AND SPITI, HIMACHAL PRADESH",-10.64400
2001-12,"BARAMULLA, JAMMU AND KASHMIR",-5.93400
2001-12,"PULWAMA, JAMMU AND KASHMIR",-5.33600
2001-12,"ANANTNAG, JAMMU AND KASHMIR",-5.06800
2001-12,"KULU, HIMACHAL PRADESH",-4.62000
2001-12,"KUPWARA, JAMMU AND KASHMIR",-4.60800
2001-12,"SRINAGAR, JAMMU AND KASHMIR",-3.33400
2013-12,"LADAKH, LADAKH",-35.29500
2013-12,"KARGIL, JAMMU AND KASHMIR",-34.81100
2013-12,"BARAMULLA, JAMMU AND KASHMIR",-10.70300
2013-12,"KUPWARA, JAMMU AND KASHMIR",-10.62900
2013-12,"PULWAMA, JAMMU AND KASHMIR",-9.93400
2013-12,"ANANTNAG, JAMMU AND KASHMIR",-6.12800
2013-12,"LAHUL AND SPITI, HIMACHAL PRADESH",-5.84950
2013-12,"KINNAUR, HIMACHAL PRADESH",-5.37200
2013-12,"PITHORGARH, UTTARAKHAND",-4.73400
2013-12,"BADGAM, JAMMU AND KASHMIR",-4.29700
2004-05,"KARGIL, JAMMU AND KASHMIR",-19.17300
2004-05,"LADAKH, LADAKH",-13.47700
2004-05,"KINNAUR, HIMACHAL PRADESH",-2.57200
2004-05,"BARAMULLA, JAMMU AND KASHMIR",-1.05900
2004-05,"PULWAMA, JAMMU AND KASHMIR",-0.03100
2004-05,"LAHUL AND SPITI, HIMACHAL PRADESH",0.49200
2004-05,"KUPWARA, JAMMU AND KASHMIR",0.76400
2004-05,"SRINAGAR, JAMMU AND KASHMIR",1.25800
2004-05,"BADGAM, JAMMU AND KASHMIR",1.25800
2004-05,"ANANTNAG, JAMMU AND KASHMIR",3.03200
2006-07,"LADAKH, LADAKH",-11.15100
2006-07,"KARGIL, JAMMU AND KASHMIR",-7.52400
2006-07,"KINNAUR, HIMACHAL PRADESH",6.13900
2006-07,"BARAMULLA, JAMMU AND KASHMIR",6.22800
2006-07,"LAHUL AND SPITI, HIMACHAL PRADESH",7.70500
2006-07,"PULWAMA, JAMMU AND KASHMIR",7.79200
2006-07,"KUPWARA, JAMMU AND KASHMIR",8.44500
2006-07,"SRINAGAR, JAMMU AND KASHMIR",8.55400
2006-07,"BADGAM, JAMMU AND KASHMIR",8.55400
2006-07,"ANANTNAG, JAMMU AND KASHMIR",11.77000
2010-11,"KARGIL, JAMMU AND KASHMIR",-18.84700
2010-11,"LADAKH, LADAKH",-18.20150
2010-11,"KINNAUR, HIMACHAL PRADESH",-4.63700
2010-11,"LAHUL AND SPITI, HIMACHAL PRADESH",-4.15300
2010-11,"BARAMULLA, JAMMU AND KASHMIR",-3.30400
2010-11,"KUPWARA, JAMMU AND KASHMIR",-1.85700
2010-11,"PULWAMA, JAMMU AND KASHMIR",-1.16300
2010-11,"KULU, HIMACHAL PRADESH",-0.74900
2010-11,"ANANTNAG, JAMMU AND KASHMIR",-0.36800
2010-11,"SRINAGAR, JAMMU AND KASHMIR",0.28000
2003-02,"KARGIL, JAMMU AND KASHMIR",-32.80100
2003-02,"LADAKH, LADAKH",-25.17200
2003-02,"KINNAUR, HIMACHAL PRADESH",-12.78100
2003-02,"LAHUL AND SPITI, HIMACHAL PRADESH",-12.33700
2003-02,"BARAMULLA, JAMMU AND KASHMIR",-8.43000
2003-02,"KUPWARA, JAMMU AND KASHMIR",-7.54500
2003-02,"PULWAMA, JAMMU AND KASHMIR",-7.36900
2003-02,"SRINAGAR, JAMMU AND KASHMIR",-5.64100
2003-02,"BADGAM, JAMMU AND KASHMIR",-5.64100
2003-02,"KULU, HIMACHAL PRADESH",-4.54300
2013-06,"KARGIL, JAMMU AND KASHMIR",-2.62700
2013-06,"LADAKH, LADAKH",-2.16400
2013-06,"PULWAMA, JAMMU AND KASHMIR",3.87800
2013-06,"BARAMULLA, JAMMU AND KASHMIR",4.16300
2013-06,"KUPWARA, JAMMU AND KASHMIR",4.41800
2013-06,"KINNAUR, HIMACHAL PRADESH",7.54900
