Month,District_State,MinimumRelativeHumidity
2010-11,"BARMER, RAJASTHAN",0.17414
2010-11,"KINNAUR, HIMACHAL PRADESH",0.18595
2010-11,"JALORE, RAJASTHAN",0.20047
2010-11,"GANGANAGAR, RAJASTHAN",0.20621
2010-11,"JAISALMER, RAJASTHAN",0.20848
2010-11,"BANASKANTHA, GUJARAT",0.20923
2010-11,"CHURU, RAJASTHAN",0.21000
2010-11,"BIKANER, RAJASTHAN",0.21490
2010-11,"JODHPUR, RAJASTHAN",0.23302
2010-11,"PATAN, GUJARAT",0.23324
2003-02,"SOUTHSIKKIM, SIKKIM",0.08858
2003-02,"RAJKOT, GUJARAT",0.12629
2003-02,"PATAN, GUJARAT",0.12651
2003-02,"SURENDRANAGAR, GUJARAT",0.12857
2003-02,"BANASKANTHA, GUJARAT",0.12892
2003-02,"KAIRA/KHEDA, GUJARAT",0.13408
2003-02,"RATLAM, MADHAYA PRADESH",0.13412
2003-02,"BANSWARA, RAJASTHAN",0.13530
2003-02,"JALORE, RAJASTHAN",0.13626
2003-02,"BARMER, RAJASTHAN",0.13896
2013-06,"FARIDKOT, PUNJAB",0.10902
2013-06,"GANGANAGAR, RAJASTHAN",0.12382
2013-06,"AMRITSAR, PUNJAB",0.12530
2013-06,"SANGRUR, PUNJAB",0.12687
2013-06,"BHIWANI, HARYANA",0.12786
2013-06,"MAHENDRAGARH, HARYANA",0.13494
2013-06,"BIKANER, RAJASTHAN",0.13604
2013-06,"SAWAI MADHOPUR, RAJASTHAN",0.13742
2013-06,"JULLUNDAR, PUNJAB",0.14299
2013-06,"CHURU, RAJASTHAN",0.14358
2001-06,"GANGANAGAR, RAJASTHAN",0.12709
2001-06,"JAMMU, JAMMU AND KASHMIR",0.14604
2001-06,"AMRITSAR, PUNJAB",0.14706
2001-06,"UDHAMPUR, JAMMU AND KASHMIR",0.15092
2001-06,"KAPURTHALA, PUNJAB",0.15249
2001-06,"GURDASPUR, PUNJAB",0.15547
2001-06,"FARIDKOT, PUNJAB",0.15850
2001-06,"JULLUNDAR, PUNJAB",0.16067
2001-06,"KATHUA, JAMMU AND KASHMIR",0.16325
2001-06,"BIKANER, RAJASTHAN",0.16678
2005-12,"UDHAMPUR, JAMMU AND KASHMIR",0.07284
2005-12,"CHAMBA, HIMACHAL PRADESH",0.07386
2005-12,"KUPWARA, JAMMU AND KASHMIR",0.07697
2005-12,"BARAMULLA, JAMMU AND KASHMIR",0.08583
2005-12,"LAHUL AND SPITI, HIMACHAL PRADESH",0.08860
2005-12,"MANDI, HIMACHAL PRADESH",0.08894
2005-12,"PITHORGARH, UTTARAKHAND",0.09197
2005-12,"KATHUA, JAMMU AND KASHMIR",0.09412
2005-12,"DODA, JAMMU AND KASHMIR",0.10225
2005-12,"BADGAM, JAMMU AND KASHMIR",0.10326
2006-05,"GANGANAGAR, RAJASTHAN",0.04850
2006-05,"BHARATPUR, RAJASTHAN",0.06774
2006-05,"DHOLPUR, RAJASTHAN",0.06909
2006-05,"BHIND, MADHAYA PRADESH",0.06915
2006-05,"MORENA, MADHAYA PRADESH",0.07070
2006-05,"KARAULI, RAJASTHAN",0.07290
2006-05,"SHEOPUR, MADHAYA PRADESH",0.07313
2006-05,"SAWAI MADHOPUR, RAJASTHAN",0.07314
2006-05,"JALAUN, UTTAR PRADESH",0.07333
2006-05,"GWALIOR, MADHAYA PRADESH",0.07425
2008-09,"JAISALMER, RAJASTHAN",0.23029
2008-09,"UDHAMPUR, JAMMU AND KASHMIR",0.23284
2008-09,"GANGANAGAR, RAJASTHAN",0.23982
2008-09,"BARMER, RAJASTHAN",0.25146
2008-09,"BARAMULLA, JAMMU AND KASHMIR",0.25204
2008-09,"DODA, JAMMU AND KASHMIR",0.25257
2008-09,"ANANTNAG, JAMMU AND KASHMIR",0.25350
2008-09,"LADAKH, LADAKH",0.26168
2008-09,"KUPWARA, JAMMU AND KASHMIR",0.26172
2008-09,"JALORE, RAJASTHAN",0.27476
2006-04,"HARDOI, UTTAR PRADESH",0.03303
2006-04,"FARRUKHABAD, UTTAR PRADESH",0.03309
2006-04,"MAINPURI, UTTAR PRADESH",0.03338
2006-04,"FIROZABAD, UTTAR PRADESH",0.03362
2006-04,"UDHAMSING NAGAR, UTTARAKHAND",0.03606
2006-04,"ETAH, UTTAR PRADESH",0.03607
2006-04,"MAHAMAYA NAGA, UTTAR PRADESH",0.03677
2006-04,"SHAHJAHANPUR, UTTAR PRADESH",0.03688
2006-04,"BHARATPUR, RAJASTHAN",0.03706
2006-04,"AURAIYA, UTTAR PRADESH",0.03714
2007-08,"GANGANAGAR, RAJASTHAN",0.22350
2007-08,"FARIDKOT, PUNJAB",0.24958
