Month,District_State,MaximumRelativeHumidity
2009-01,"UPPER SUBANSIRI, ARUNACHAL PRADESH",0.99182
2009-01,"PULWAMA, JAMMU AND KASHMIR",0.99111
2009-01,"BADGAM, JAMMU AND KASHMIR",0.99059
2009-01,"UPPER SIANG, ARUNACHAL PRADESH",0.98717
2009-01,"PAPAMPARE, ARUNACHAL PRADESH",0.97986
2009-01,"JAMMU, JAMMU AND KASHMIR",0.97297
2009-01,"WEST SIANG, ARUNACHAL PRADESH",0.97019
2009-01,"EAST KAMENG, ARUNACHAL PRADESH",0.96637
2009-01,"LALITPUR, UTTAR PRADESH",0.95428
2005-07,"KARGIL, JAMMU AND KASHMIR",0.99372
2005-07,"NILGIRIS, TAMILNADU",0.98438
2005-07,"SENAPATI, MANIPUR",0.97971
2005-07,"UPPER SUBANSIRI, ARUNACHAL PRADESH",0.97968
2005-07,"WAYANAD, KERALA",0.97847
2005-07,"BADGAM, JAMMU AND KASHMIR",0.97833
2005-07,"PULWAMA, JAMMU AND KASHMIR",0.97803
2005-07,"JAINTIA HILLS, MEGHALAYA",0.97793
2005-07,"NORTH TRIPURA, TRIPURA",0.97582
2005-07,"KODAGU, KARNATAKA",0.97570
2005-09,"PHEK, NAGALAND",0.98445
2005-09,"NILGIRIS, TAMILNADU",0.98393
2005-09,"SENAPATI, MANIPUR",0.98373
2005-09,"N.C.HILLS, ASSAM",0.98069
2005-09,"MON, NAGALAND",0.98064
2005-09,"DANGS, GUJARAT",0.97708
2005-09,"WAYANAD, KERALA",0.97675
2005-09,"KODAGU, KARNATAKA",0.97550
2005-09,"NORTH GOA, GOA",0.97530
2005-09,"KOHIMA, NAGALAND",0.97280
2000-05,"UPPER SUBANSIRI, ARUNACHAL PRADESH",0.99213
2000-05,"PHEK, NAGALAND",0.98624
2000-05,"GOLAGHAT, ASSAM",0.98501
2000-05,"SENAPATI, MANIPUR",0.98499
2000-05,"KARBI ANGLONG, ASSAM",0.98467
2000-05,"KOHIMA, NAGALAND",0.98341
2000-05,"MON, NAGALAND",0.98340
2000-05,"N.C.HILLS, ASSAM",0.98211
2000-05,"UPPER SIANG, ARUNACHAL PRADESH",0.97967
2000-05,"PAPAMPARE, ARUNACHAL PRADESH",0.97476
2001-12,"PULWAMA, JAMMU AND KASHMIR",0.97973
2001-12,"BARAMULLA, JAMMU AND KASHMIR",0.96448
2001-12,"MON, NAGALAND",0.96230
2001-12,"DINDIGUL, TAMILNADU",0.95951
2001-12,"BADGAM, JAMMU AND KASHMIR",0.95553
2001-12,"MORIGAON, ASSAM",0.94823
2001-12,"PHEK, NAGALAND",0.94721
2001-12,"CHITTOR, ANDHRA PRADESH",0.94622
2001-12,"KARGIL, JAMMU AND KASHMIR",0.94251
2001-12,"THIRUVALLUR, TAMILNADU",0.94183
2013-12,"MON, NAGALAND",0.99393
2013-12,"GOLAGHAT, ASSAM",0.98928
2013-12,"JORHAT, ASSAM",0.97059
2013-12,"KARBI ANGLONG, ASSAM",0.96459
2013-12,"SIBSAGAR, ASSAM",0.96098
2013-12,"PHEK, NAGALAND",0.95304
2013-12,"DINDIGUL, TAMILNADU",0.95103
2013-12,"WEST KAMENG, ARUNACHAL PRADESH",0.95043
2013-12,"NOWGONG, ASSAM",0.93594
2013-12,"DIBRUGARH, ASSAM",0.93429
2004-05,"NILGIRIS, TAMILNADU",0.98357
2004-05,"SENAPATI, MANIPUR",0.98055
2004-05,"WAYANAD, KERALA",0.98002
2004-05,"MON, NAGALAND",0.97981
2004-05,"PHEK, NAGALAND",0.97960
2004-05,"GOLAGHAT, ASSAM",0.97796
2004-05,"KARBI ANGLONG, ASSAM",0.97587
2004-05,"MORIGAON, ASSAM",0.97241
2004-05,"N.C.HILLS, ASSAM",0.97134
2004-05,"KODAGU, KARNATAKA",0.97113
2006-07,"SENAPATI, MANIPUR",0.98402
2006-07,"NILGIRIS, TAMILNADU",0.98351
2006-07,"KINNAUR, HIMACHAL PRADESH",0.98252
2006-07,"PHEK, NAGALAND",0.98156
2006-07,"BADGAM, JAMMU AND KASHMIR",0.98105
2006-07,"MON, NAGALAND",0.98027
2006-07,"N.C.HILLS, ASSAM",0.97918
2006-07,"JAINTIA HILLS, MEGHALAYA",0.97670
2006-07,"DANGS, GUJARAT",0.97457
2006-07,"UPPER SUBANSIRI, ARUNACHAL PRADESH",0.97311
2010-11,"UPPER SUBANSIRI, ARUNACHAL PRADESH",0.98966
2010-11,"UPPER SIANG, ARUNACHAL PRADESH",0.98894
2010-11,"MON, NAGALAND",0.98732
2010-11,"PHEK, NAGALAND",0.98709
2010-11,"GOLAGHAT, ASSAM",0.98174
2010-11,"KARBI ANGLONG, ASSAM",0.98136
2010-11,"NILGIRIS, TAMILNADU",0.97944
2010-11,"KODAGU, KARNATAKA",0.97815
2010-11,"WEST SIANG, ARUNACHAL PRADESH",0.97802
2010-11,"NAWAPARA, ORISSA",0.97521
2003-02,"PULWAMA, JAMMU AND KASHMIR",0.99583
2003-02,"BARAMULLA, JAMMU AND KASHMIR",0.99551
2003-02,"BADGAM, JAMMU AND KASHMIR",0.99517
2003-02,"ANANTNAG, JAMMU AND KASHMIR",0.98790
2003-02,"DODA, JAMMU AND KASHMIR",0.97507
2003-02,"KINNAUR, HIMACHAL PRADESH",0.97481
2003-02,"KUPWARA, JAMMU AND KASHMIR",0.97475
2003-02,"LAHUL AND SPITI, HIMACHAL PRADESH",0.96224
2003-02,"S.RAVIDAS NAGAR, UTTAR PRADESH",0.96092
2003-02,"ALLAHABAD, UTTAR PRADESH",0.95830
2013-06,"WEST KAMENG, ARUNACHAL PRADESH",0.98602
2013-06,"N.C.HILLS, ASSAM",0.98514
2013-06,"KARBI ANGLONG, ASSAM",0.98202
2013-06,"NALBARI, ASSAM",0.98175
2013-06,"PULWAMA, JAMMU AND KASHMIR",0.98152
2013-06,"GOLAGHAT, ASSAM",0.98149
2013-06,"KARIMGANJ, ASSAM",0.98112
2013-06,"DIBANG VALLEY, ARUNACHAL PRADESH",0.98073
2013-06,"MON, NAGALAND",0.98052
2013-06,"CHURACHANDPUR, MANIPUR",0.98036
2001-06,"SENAPATI, MANIPUR",0.98480
2001-06,"NILGIRIS, TAMILNADU",0.98399
2001-06,"PHEK, NAGALAND",0.98389
2001-06,"MON, NAGALAND",0.98274
2001-06,"AIZWAL, MIZORAM",0.98107
2001-06,"NORTH TRIPURA, TRIPURA",0.97962
2001-06,"N.C.HILLS, ASSAM",0.97893
2001-06,"HAILAKANDI, ASSAM",0.97651
2001-06,"WAYANAD, KERALA",0.97555
2001-06,"JAINTIA HILLS, MEGHALAYA",0.97515
2005-12,"NILGIRIS, TAMILNADU",0.97990
2005-12,"PHEK, NAGALAND",0.97883
2005-12,"SENAPATI, MANIPUR",0.97793
2005-12,"NORTH TRIPURA, TRIPURA",0.97614
2005-12,"WAYANAD, KERALA",0.97291
2005-12,"HAILAKANDI, ASSAM",0.96557
2005-12,"MON, NAGALAND",0.96284
2005-12,"N.C.HILLS, ASSAM",0.96117
2005-12,"HASSAN, KARNATAKA",0.95976
2005-12,"DINDIGUL, TAMILNADU",0.95772
2006-05,"MON, NAGALAND",0.98508
2006-05,"NILGIRIS, TAMILNADU",0.98435
2006-05,"SENAPATI, MANIPUR",0.98389
2006-05,"PHEK, NAGALAND",0.98301
2006-05,"KARBI ANGLONG, ASSAM",0.98283
2006-05,"N.C.HILLS, ASSAM",0.98115
2006-05,"JAINTIA HILLS, MEGHALAYA",0.97943
2006-05,"TUENSANG, NAGALAND",0.97912
2006-05,"GOLAGHAT, ASSAM",0.97891
2006-05,"WAYANAD, KERALA",0.97770
2008-09,"PHEK, NAGALAND",0.98420
2008-09,"SENAPATI, MANIPUR",0.98281
2008-09,"NILGIRIS, TAMILNADU",0.98094
2008-09,"MON, NAGALAND",0.98033
2008-09,"DANGS, GUJARAT",0.97801
2008-09,"GOLAGHAT, ASSAM",0.97801
2008-09,"LAKHIMPUR, ASSAM",0.97679
2008-09,"NORTH TRIPURA, TRIPURA",0.97649
2008-09,"PAPAMPARE, ARUNACHAL PRADESH",0.97486
2008-09,"UPPER SUBANSIRI, ARUNACHAL PRADESH",0.97438
2006-04,"BARAMULLA, JAMMU AND KASHMIR",0.97737
2006-04,"PULWAMA, JAMMU AND KASHMIR",0.97320
2006-04,"KARGIL, JAMMU AND KASHMIR",0.96019
2006-04,"PHEK, NAGALAND",0.95418
2006-04,"KUPWARA, JAMMU AND KASHMIR",0.94749
2006-04,"SENAPATI, MANIPUR",0.94549
2006-04,"KARBI ANGLONG, ASSAM",0.94025
2006-04,"MORIGAON, ASSAM",0.94023
2006-04,"GOLAGHAT, ASSAM",0.93805
2006-04,"LADAKH, LADAKH",0.93583
2007-08,"PHEK, NAGALAND",0.98379
2007-08,"NILGIRIS, TAMILNADU",0.98363
2007-08,"SENAPATI, MANIPUR",0.98316
2007-08,"MON, NAGALAND",0.98203
2007-08,"N.C.HILLS, ASSAM",0.98189
2007-08,"JAINTIA HILLS, MEGHALAYA",0.97922
2007-08,"KARBI ANGLONG, ASSAM",0.97888
2007-08,"GOLAGHAT, ASSAM",0.97803
2007-08,"TUENSANG, NAGALAND",0.97738
2007-08,"NORTH TRIPURA, TRIPURA",0.97705
2010-02,"PULWAMA, JAMMU AND KASHMIR",0.99595
2010-02,"BARAMULLA, JAMMU AND KASHMIR",0.99587
2010-02,"BADGAM, JAMMU AND KASHMIR",0.99559
2010-02,"ANANTNAG, JAMMU AND KASHMIR",0.99037
2010-02,"UPPER SUBANSIRI, ARUNACHAL PRADESH",0.98888
2010-02,"PAPAMPARE, ARUNACHAL PRADESH",0.98736
2010-02,"UPPER SIANG, ARUNACHAL PRADESH",0.98619
2010-02,"KUPWARA, JAMMU AND KASHMIR",0.98489
2010-02,"DODA, JAMMU AND KASHMIR",0.98251
2010-02,"UDHAMPUR, JAMMU AND KASHMIR",0.97653
2001-05,"PHEK, NAGALAND",0.98803
2001-05,"SENAPATI, MANIPUR",0.98781
2001-05,"N.C.HILLS, ASSAM",0.98362
2001-05,"KARBI ANGLONG, ASSAM",0.98348
2001-05,"KOHIMA, NAGALAND",0.98319
2001-05,"GOLAGHAT, ASSAM",0.97948
2001-05,"NORTH TRIPURA, TRIPURA",0.97944
2001-05,"MON, NAGALAND",0.97913
2001-05,"TUENSANG, NAGALAND",0.97890
2001-05,"HAILAKANDI, ASSAM",0.97884
